[Header]
; Copyright 1997-2010, Quantum Design, Inc. All rights reserved.
FILEOPENTIME,3807352055.067,8/23/2020,1:47 PM
BYAPP, LogDynaCoolData, 1.0, 2.2
INFO, APPNAME, DynaCool MultiVu Application, Release 1.2.5.1
FIELDGROUP, Standard,2,3,4,5,6,7,8,9,11,10
FIELDGROUP, Diagnostic,2,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
FIELDGROUP, User,2,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
STARTUPGROUP, All
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 3, LINEAR, AUTO
TIMEMODE, MINUTES, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON, MARKERS_AND_LINES, ALL_LINES
RECORDS, ALL_RECORDS
DATATYPE, TIME, 2
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),System Pres (Torr),Chamber Status (code),Temperature Status (code),Field Status (code),Cryostat Status (code),Control Therm (ID),Sample Therm (ID),Block Temp (K),Neck Temp (K),High Neck Temp (K),Control Temp (K),1st Stage Temp (K),2nd Stage Temp (K),Magnet Temp (K),Impedance Temp (K),Pot Liquid level (%),Block Power (W),Neck Heater Power (W),High Neck Heater Power (W),1st Stage Heater Power (W),2nd Stage Heater Power (W),Magnet Voltage (V),Impedance Heater Power (W),Pot Power (W),CFE Flow (SCCM),Pump Flow (uncal SCCM),Tank Pressure (Torr),Annulus Pressure (Torr),Compressor State (code),Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16
,3807352055.07,300.0044,,,,,,,,
,3807352055.08,300.0044,,,,,,,,
,3807352071.09,299.8531,,,,,,,,
,3807352091.14,299.5161,,,,,,,,
,3807352111.15,299.1577,,,,,,,,
,3807352131.21,298.8134,,,,,,,,
,3807352151.21,298.4543,,,,,,,,
,3807352171.22,298.1134,,,,,,,,
,3807352191.23,297.7664,,,,,,,,
,3807352211.25,297.4373,,,,,,,,
,3807352231.27,297.1015,,,,,,,,
,3807352251.29,296.7815,,,,,,,,
,3807352271.31,296.4458,,,,,,,,
,3807352291.36,296.114,,,,,,,,
,3807352311.44,295.7871,,,,,,,,
,3807352331.49,295.4512,,,,,,,,
,3807352351.52,295.1218,,,,,,,,
,3807352371.54,294.7862,,,,,,,,
,3807352391.56,294.4565,,,,,,,,
,3807352411.64,294.1205,,,,,,,,
,3807352431.67,293.7935,,,,,,,,
,3807352451.69,293.4525,,,,,,,,
,3807352471.73,293.118,,,,,,,,
,3807352491.76,292.7844,,,,,,,,
,3807352511.78,292.4513,,,,,,,,
,3807352531.78,292.1187,,,,,,,,
,3807352551.81,291.7831,,,,,,,,
,3807352571.82,291.4564,,,,,,,,
,3807352591.90,291.1183,,,,,,,,
,3807352611.95,290.7898,,,,,,,,
,3807352631.98,290.4525,,,,,,,,
,3807352651.98,290.1285,,,,,,,,
,3807352672.00,289.7866,,,,,,,,
,3807352692.02,289.4615,,,,,,,,
,3807352712.04,289.1186,,,,,,,,
,3807352732.04,288.792,,,,,,,,
,3807352752.04,288.4552,,,,,,,,
,3807352772.09,288.1286,,,,,,,,
,3807352792.11,287.7881,,,,,,,,
,3807352812.13,287.4627,,,,,,,,
,3807352832.14,287.1251,,,,,,,,
,3807352852.15,286.8007,,,,,,,,
,3807352872.22,286.4582,,,,,,,,
,3807352892.27,286.1236,,,,,,,,
,3807352912.32,285.7932,,,,,,,,
,3807352932.35,285.4571,,,,,,,,
,3807352952.38,285.1288,,,,,,,,
,3807352972.43,284.7896,,,,,,,,
,3807352992.45,284.4601,,,,,,,,
,3807353012.47,284.1284,,,,,,,,
,3807353032.47,283.8019,,,,,,,,
,3807353052.50,283.4607,,,,,,,,
,3807353072.53,283.1333,,,,,,,,
,3807353092.55,282.7938,,,,,,,,
,3807353112.58,282.4678,,,,,,,,
,3807353132.58,282.1328,,,,,,,,
,3807353152.60,281.8013,,,,,,,,
,3807353172.63,281.463,,,,,,,,
,3807353192.65,281.135,,,,,,,,
,3807353212.70,280.7971,,,,,,,,
,3807353232.75,280.4701,,,,,,,,
,3807353252.79,280.133,,,,,,,,
,3807353272.79,279.8064,,,,,,,,
,3807353292.82,279.4662,,,,,,,,
,3807353312.84,279.1303,,,,,,,,
,3807353332.84,278.8002,,,,,,,,
,3807353352.84,278.4631,,,,,,,,
,3807353372.86,278.1362,,,,,,,,
,3807353392.91,277.7987,,,,,,,,
,3807353412.95,277.4698,,,,,,,,
,3807353432.97,277.1329,,,,,,,,
,3807353452.98,276.8063,,,,,,,,
,3807353473.06,276.4702,,,,,,,,
,3807353493.10,276.1384,,,,,,,,
,3807353513.12,275.8002,,,,,,,,
,3807353533.15,275.4742,,,,,,,,
,3807353553.17,275.133,,,,,,,,
,3807353573.19,274.8062,,,,,,,,
,3807353593.21,274.4712,,,,,,,,
,3807353613.23,274.1465,,,,,,,,
,3807353633.24,273.8038,,,,,,,,
,3807353653.25,273.4788,,,,,,,,
,3807353673.28,273.14,,,,,,,,
,3807353693.28,272.8133,,,,,,,,
,3807353713.32,272.4753,,,,,,,,
,3807353733.34,272.1475,,,,,,,,
,3807353753.39,271.8074,,,,,,,,
,3807353773.42,271.4723,,,,,,,,
,3807353793.42,271.1427,,,,,,,,
,3807353813.44,270.8062,,,,,,,,
,3807353833.46,270.4782,,,,,,,,
,3807353853.48,270.1404,,,,,,,,
,3807353873.50,269.811,,,,,,,,
,3807353893.51,269.4764,,,,,,,,
,3807353913.52,269.1485,,,,,,,,
,3807353933.55,268.8112,,,,,,,,
,3807353953.56,268.4818,,,,,,,,
,3807353973.62,268.1445,,,,,,,,
,3807353993.64,267.8166,,,,,,,,
,3807354013.66,267.4804,,,,,,,,
,3807354033.72,267.1503,,,,,,,,
,3807354053.83,266.8113,,,,,,,,
,3807354073.85,266.4857,,,,,,,,
,3807354093.86,266.1447,,,,,,,,
,3807354113.89,265.821,,,,,,,,
,3807354133.92,265.4798,,,,,,,,
,3807354153.97,265.155,,,,,,,,
,3807354174.00,264.8161,,,,,,,,
,3807354194.07,264.4788,,,,,,,,
,3807354214.07,264.1498,,,,,,,,
,3807354234.09,263.8128,,,,,,,,
,3807354254.14,263.4876,,,,,,,,
,3807354274.16,263.1473,,,,,,,,
,3807354294.21,262.8188,,,,,,,,
,3807354314.26,262.4828,,,,,,,,
,3807354334.32,262.1549,,,,,,,,
,3807354354.37,261.816,,,,,,,,
,3807354374.39,261.488,,,,,,,,
,3807354394.43,261.1497,,,,,,,,
,3807354414.46,260.8224,,,,,,,,
,3807354434.46,260.4832,,,,,,,,
,3807354454.50,260.1579,,,,,,,,
,3807354474.50,259.82,,,,,,,,
,3807354494.53,259.491,,,,,,,,
,3807354514.58,259.1534,,,,,,,,
,3807354534.62,258.8182,,,,,,,,
,3807354554.65,258.4884,,,,,,,,
,3807354574.67,258.1519,,,,,,,,
,3807354594.67,257.8225,,,,,,,,
,3807354614.74,257.4867,,,,,,,,
,3807354634.77,257.1565,,,,,,,,
,3807354654.81,256.8219,,,,,,,,
,3807354674.84,256.4914,,,,,,,,
,3807354694.87,256.1519,,,,,,,,
,3807354714.91,255.8256,,,,,,,,
,3807354734.94,255.4866,,,,,,,,
,3807354754.98,255.1618,,,,,,,,
,3807354775.02,254.8218,,,,,,,,
,3807354795.05,254.4851,,,,,,,,
,3807354815.08,254.1556,,,,,,,,
,3807354835.12,253.8189,,,,,,,,
,3807354855.17,253.496,,,,,,,,
,3807354875.20,253.1582,,,,,,,,
,3807354895.23,252.8268,,,,,,,,
,3807354915.28,252.4862,,,,,,,,
,3807354935.31,252.1552,,,,,,,,
,3807354955.33,251.8159,,,,,,,,
,3807354975.41,251.4902,,,,,,,,
,3807354995.43,251.1496,,,,,,,,
,3807355015.48,250.8129,,,,,,,,
,3807355035.48,250.4852,,,,,,,,
,3807355055.50,250.1481,,,,,,,,
,3807355075.53,249.8194,,,,,,,,
,3807355095.57,249.4841,,,,,,,,
,3807355115.60,249.1556,,,,,,,,
,3807355135.65,248.8194,,,,,,,,
,3807355155.67,248.4888,,,,,,,,
,3807355175.71,248.1523,,,,,,,,
,3807355195.74,247.8219,,,,,,,,
,3807355215.77,247.4848,,,,,,,,
,3807355235.81,247.1566,,,,,,,,
,3807355255.86,246.8185,,,,,,,,
,3807355275.89,246.4904,,,,,,,,
,3807355295.92,246.1498,,,,,,,,
,3807355315.94,245.8231,,,,,,,,
,3807355335.98,245.484,,,,,,,,
,3807355356.01,245.1579,,,,,,,,
,3807355376.04,244.8179,,,,,,,,
,3807355396.08,244.4913,,,,,,,,
,3807355416.11,244.1515,,,,,,,,
,3807355436.15,243.8154,,,,,,,,
,3807355456.18,243.4857,,,,,,,,
,3807355476.21,243.1495,,,,,,,,
,3807355496.24,242.8203,,,,,,,,
,3807355516.26,242.4825,,,,,,,,
,3807355536.27,242.1538,,,,,,,,
,3807355556.29,241.8176,,,,,,,,
,3807355576.30,241.4885,,,,,,,,
,3807355596.36,241.1519,,,,,,,,
,3807355616.40,240.8237,,,,,,,,
,3807355636.47,240.4831,,,,,,,,
,3807355656.49,240.1557,,,,,,,,
,3807355676.50,239.8178,,,,,,,,
,3807355696.50,239.4913,,,,,,,,
,3807355716.50,239.1515,,,,,,,,
,3807355736.53,238.8249,,,,,,,,
,3807355756.54,238.4856,,,,,,,,
