sample_id,temperature_C,n_freq,kk_mu_median,kk_mu_max,kk_passed,claim_band
2026.4.28CS,18.0,44,0.0059085715551230565,0.32746865253484503,True,screening/exploratory (cold tail)
2026.4.28CS,18.0,44,0.006319683475631029,0.3273790771615012,True,screening/exploratory (cold tail)
2026.4.28CS,15.0,44,0.005519775626158444,0.3264992522482523,True,screening/exploratory (cold tail)
2026.4.28CS,12.0,44,0.004337850289469031,0.32339637214331013,True,screening/exploratory (cold tail)
2026.4.28CS,9.0,44,0.004419239178612172,0.31961078576947816,True,screening/exploratory (cold tail)
2026.4.28CS,6.0,44,0.004343752287578856,0.31711115657512295,True,screening/exploratory (cold tail)
2026.4.28CS,3.0,44,0.004063631493765523,0.3150230614051391,True,screening/exploratory (cold tail)
2026.4.28CS,0.0,44,0.00502256502222891,0.3108140079736206,True,screening/exploratory (cold tail)
2026.4.28CS,-3.0,44,0.004331851896477992,0.30955131973533917,True,screening/exploratory (cold tail)
2026.4.28CS,-6.0,44,0.0044906724561172805,0.3067309775226216,True,screening/exploratory (cold tail)
2026.4.28CS,-9.0,43,0.00593389639426312,0.3204749197308542,True,screening/exploratory (cold tail)
2026.4.28CS,-12.0,43,0.006038601436965382,0.3151845031799774,True,screening/exploratory (cold tail)
2026.4.28CS,-15.0,43,0.0058548397302307245,0.31356131563846484,True,screening/exploratory (cold tail)
2026.4.28CS,-18.0,43,0.005853904576614033,0.30912883950914294,True,screening/exploratory (cold tail)
2026.4.28CS,-21.0,43,0.005654875297523553,0.3058781776186606,True,screening/exploratory (cold tail)
2026.4.28CS,-24.0,43,0.004565958845337728,0.28037984093491664,True,screening/exploratory (cold tail)
2026.4.28CS,-27.0,43,0.004520650395849042,0.27694494174242285,True,screening/exploratory (cold tail)
2026.4.28CS,-30.0,42,0.0054661303571689485,0.28844480303173786,True,screening/exploratory (cold tail)
2026.4.28CS,-33.0,42,0.005344127198561767,0.2841888824170903,True,screening/exploratory (cold tail)
2026.4.28CS,-36.0,42,0.005210808679493719,0.27992062330857365,True,screening/exploratory (cold tail)
2026.4.28CS,-39.0,42,0.00474217847804995,0.27542132910119715,True,screening/exploratory (cold tail)
2026.4.28CS,-42.0,41,0.0049695076196281185,0.26856389558321153,True,screening/exploratory (cold tail)
2026.4.28CS,-45.0,40,0.004170559646252978,0.26373726571149425,True,screening/exploratory (cold tail)
2026.4.28CS,-48.0,40,0.0048166081614183735,0.2704816458319959,True,screening/exploratory (cold tail)
2026.4.28CS,-51.0,39,0.006152113077874558,0.2957409393591319,True,screening/exploratory (cold tail)
2026.4.28CS,-54.0,39,0.006394659123355412,0.3050296281343312,True,screening/exploratory (cold tail)
2026.4.28CS,-57.0,39,0.006136919227845651,0.3139013037696581,True,screening/exploratory (cold tail)
2026.4.28CS,-60.0,40,0.0068770640615895854,0.32516386550614484,True,screening/exploratory (cold tail)
2026.4.28CS,-63.0,40,0.00766830436477133,0.3244484451601002,True,screening/exploratory (cold tail)
2026.4.28CS,-66.0,52,0.0055146538295523075,0.3280207463809249,True,screening/exploratory (cold tail)
2026.4.28CS,-69.0,53,0.006196365383566597,0.3177210586283579,True,screening/exploratory (cold tail)
2026.4.28CS,-72.0,53,0.008231558422495438,0.2955162335163158,True,screening/exploratory (cold tail)
2026.4.28CS,-75.0,53,0.015205283872896939,0.2600263835916702,True,screening/exploratory (cold tail)
2026.4.28CS,-78.0,34,0.015330962424065446,0.2903540021256269,True,screening/exploratory (cold tail)
2026.4.28CS,-78.0,31,0.0166798789499246,0.23719065325643096,True,screening/exploratory (cold tail)
2026.4.28CS,-81.0,34,0.025108135282157634,0.2487671597672123,True,screening/exploratory (cold tail)
2026.4.28CS,-81.0,34,0.035730476623978435,0.2411161068712454,True,screening/exploratory (cold tail)
2026.4.29CS,25.0,42,0.007999699875535842,0.3957339653068456,True,screening/exploratory (cold tail)
2026.4.29CS,22.0,42,0.007251590371788482,0.3943529854433816,True,screening/exploratory (cold tail)
2026.4.29CS,18.0,43,0.006925227268434031,0.40182625188894266,True,main-text (high-T window)
2026.4.29CS,16.0,43,0.006566660877820445,0.40168052674054516,True,main-text (high-T window)
2026.4.29CS,13.0,43,0.0074775901969133165,0.401058228267237,True,main-text (high-T window)
2026.4.29CS,10.0,43,0.006892467258309938,0.4007218249807126,True,main-text (high-T window)
2026.4.29CS,7.0,43,0.006687337473642184,0.40002284377349795,True,main-text (high-T window)
2026.4.29CS,4.0,43,0.006565613025099159,0.39866115925947965,True,main-text (high-T window)
2026.4.29CS,1.0,43,0.006711595777595051,0.39752852307221587,True,main-text (high-T window)
2026.4.29CS,-2.0,43,0.006740936393872212,0.39638135680121755,True,main-text (high-T window)
2026.4.29CS,-5.0,43,0.006517115806899929,0.39509886661554594,True,main-text (high-T window)
2026.4.29CS,-8.0,43,0.006508208361477629,0.3930665032407458,True,main-text (high-T window)
2026.4.29CS,-11.0,43,0.006504134460878356,0.3893090811320443,True,main-text (high-T window)
2026.4.29CS,-14.0,43,0.006159709003212953,0.3880987135564268,True,main-text (high-T window)
2026.4.29CS,-17.0,43,0.006599596145985702,0.3848006373124889,True,main-text (high-T window)
2026.4.29CS,-20.0,43,0.006252422054820184,0.381092024237356,True,main-text (high-T window)
2026.4.29CS,-23.0,43,0.006382964802042205,0.3776046110194059,True,main-text (high-T window)
2026.4.29CS,-26.0,43,0.006214484673966694,0.3737906136259179,True,main-text (high-T window)
2026.4.29CS,-29.0,43,0.006448208432588247,0.36895911697634726,True,main-text (high-T window)
2026.4.29CS,-32.0,43,0.006224923011194944,0.36364205274203476,True,supplementary (233 K anchor)
