temperature_C,rb_code_ohm
-89.0,178.0
-86.0,5204.0
-83.0,2599.0
-80.0,1263.0
-77.0,625.8
-74.0,345.3
-71.0,205.6
-68.0,121.9
-65.0,75.1859633027523
-62.0,46.66759756952559
-59.0,29.601332370963036
-56.0,18.042069792319893
-53.0,12.075633626097869
-50.0,8.0712772196811
-47.0,5.751190849410571
-44.0,4.560497142857143
-41.0,3.6697329807200134
-38.0,3.0362538071065988
-35.0,2.3298612135041834
-32.0,1.2723094712818563
-29.0,1.2606504343667808
-26.0,1.2574142581888246
-23.0,1.2517481645219863
-20.0,1.2416032957220555
-17.0,1.2345229707644816
-14.0,1.2424291757951198
-11.0,1.2443385766516453
-8.0,1.242017616580311
-5.0,1.2390593536088728
-2.0,1.2284962781329365
1.0,1.2243605393896382
4.0,1.2121964586100045
7.0,1.1824081705467844
10.0,1.1886617791685292
13.0,1.1864727872457395
16.0,1.1874727891156462
19.0,1.1900479704797047
