temperature_C,rb_code_ohm
-74.0,2641.840088
-71.0,1014.299988
-68.0,594.554993
-65.0,276.083008
-62.0,145.92362559152014
-59.0,78.64370880548711
-56.0,39.20264142118773
-53.0,21.563063362148323
-50.0,11.581883092827672
-47.0,7.0991841975695085
-44.0,4.141713445048554
-41.0,2.684400055719722
-38.0,1.802550543990094
-35.0,0.954951020831309
-32.0,0.8175752508243052
-29.0,0.7818180813780587
-26.0,0.7363545211098679
-23.0,0.6973030802977549
-20.0,0.6675234462841001
-17.0,0.6563945039247894
-14.0,0.632037721943491
-11.0,0.6399256394066815
-8.0,0.6268178996931487
-5.0,0.6088138803397707
-2.0,0.5997487444408777
1.0,0.5542216649589619
4.0,0.5494669828351217
7.0,0.5371217626947308
10.0,0.5327363177570094
13.0,0.5307031102911899
16.0,0.5193004098316059
18.0,0.5158849938436607
22.0,0.5060732024942467
25.0,0.6867804572051679
