trial_id,sample_id,R,N,sigma_RT_S_cm,log10_sigma_RT,Ea_high_eV,Ea_low_excess_eV,combined_score_v2,score_v3,protocol_set,pareto_front_v2
2,ATA-2026-5-12-R0.35-N0.95,0.35,0.95,0.01845135377697845,-1.7339717641226757,0.14995566291263412,0.48294292958580254,-2.4253102176534793,-1.9805160129524704,primary_protocol_consistent,True
3,R0.62-N0.72-2,0.62,0.72,0.014103581278080361,-1.8506705943076127,0.21613537050298226,0.5397318131090518,-2.7689426123710854,-2.1747523274324054,primary_protocol_consistent,False
4,R0.5-N0.5-2,0.5,0.5,0.0026303275389835917,-2.5799901680440276,0.19513061510629912,0.2779840112368904,-3.3043740189813704,-2.830717585397705,primary_protocol_consistent,True
5,R0.5-N1.2-2,0.5,1.2,0.045981832332733924,-1.3374137264956272,0.15246822551953204,0.7251278290701384,-2.1573823175892928,-1.6349075178291868,primary_protocol_consistent,True
6,BO-R0.64-N0.58-7ffv-2,0.64,0.58,0.00824260856623812,-2.083935323904843,0.2102309330568004,0.4770173116314409,-2.9531367788909644,-2.3895697192879313,primary_protocol_consistent,True
7,BO-R0.20-N1.10-746i-2,0.2,1.1,0.01929730581986022,-1.7145033204866953,0.06793569213003356,0.5142515206750349,-2.1754361572143135,-1.885289316751736,primary_protocol_consistent,True
8,BO-R0.50-N0.90-23yp-2,0.5,0.9,0.03221937196506944,-1.4918829293036124,0.17346737145044494,0.532426890515513,-2.278498488912704,-1.7718356788571599,primary_protocol_consistent,True
