temperature_C,rb_code_ohm
-90.0,11100.0
-87.0,5099.0
-84.0,2575.0
-81.0,1376.0
-78.0,772.6
-75.0,495.2
-72.0,341.3
-69.0,244.4
-66.0,175.6
-63.0,128.07259214009366
-60.0,95.82340452526961
-57.0,70.91954908407703
-54.0,53.614107981220656
-51.0,40.17741662298971
-48.0,30.50699824458748
-45.0,23.52772328048363
-42.0,18.711402390011255
-39.0,15.228363329583802
-36.0,12.482823110456193
-33.0,10.331437070087377
-30.0,8.687222077922078
-27.0,7.402002559344807
-24.0,6.399534433840598
-21.0,5.514726681791871
-18.0,4.862567880141937
-15.0,4.286291031924758
-12.0,3.8726958827634337
-9.0,3.54534172435494
-6.0,3.2680640561821663
-3.0,3.032460800902425
0.0,2.8199389256806473
3.0,2.6403180356620872
6.0,2.4479633923842035
9.0,2.315243305846382
12.0,2.205257360046383
15.0,2.11883755484643
18.0,2.0508117242098676
21.0,2.063080746581495
