Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 10.118300, 8.607090, 13.283900, 40.386009
276480.000000, 10.442300, 7.403370, 12.800450, 35.335835
197486.000000, 10.831000, 5.249780, 12.036227, 25.859444
153600.000000, 11.004000, 3.996130, 11.707137, 19.958618
125673.000000, 11.096800, 3.162030, 11.538518, 15.904888
98742.898438, 11.202000, 2.350590, 11.445963, 11.850815
76800.000000, 11.290800, 1.681320, 11.415297, 8.469712
60104.300781, 11.366200, 1.098530, 11.419163, 5.520424
49371.398438, 11.445900, 0.725237, 11.468853, 3.625538
38400.000000, 11.503600, 0.305858, 11.507666, 1.523023
30052.199219, 11.595600, -0.053593, 11.595724, -0.264812
23834.500000, 11.672000, -0.379058, 11.678154, -1.860075
18681.099609, 11.757900, -0.697719, 11.778584, -3.395975
14706.400391, 11.877500, -1.037930, 11.922764, -4.994176
11520.000000, 12.036400, -1.421500, 12.120049, -6.735438
9600.000000, 12.172800, -1.706170, 12.291789, -7.978742
7513.040039, 12.352300, -2.137260, 12.535836, -9.816426
5760.000000, 12.598700, -2.704200, 12.885649, -12.114229
4547.370117, 12.836700, -3.284410, 13.250216, -14.351858
3600.000000, 13.122200, -3.923440, 13.696186, -16.646273
2880.000000, 13.433400, -4.674280, 14.223401, -19.185829
2273.679932, 13.845100, -5.610260, 14.938601, -22.058594
1781.439941, 14.325300, -6.743840, 15.833306, -25.209385
1416.390015, 14.775700, -8.001640, 16.803200, -28.437344
1122.079956, 15.352800, -9.569790, 18.091141, -31.936333
900.000000, 16.071699, -11.384500, 19.695337, -35.312115
720.000000, 16.758900, -13.531400, 21.539719, -38.917953
568.421021, 17.579399, -16.289499, 23.966290, -42.818943
440.816010, 18.579901, -19.955900, 27.266293, -47.044991
354.097992, 19.571301, -23.851900, 30.853670, -50.629951
276.923004, 20.847000, -29.209600, 35.885906, -54.484409
220.408005, 22.231100, -35.381001, 41.785606, -57.857449
174.194000, 23.888201, -43.213699, 49.376816, -61.066525
137.580002, 25.855700, -52.938900, 58.915569, -63.968822
109.091003, 28.155100, -64.807503, 70.659195, -66.517853
87.096802, 30.847500, -79.115898, 84.916977, -68.699059
68.354401, 34.381699, -98.591599, 104.414581, -70.774887
54.545502, 38.797798, -118.662003, 124.843666, -71.894287
42.857101, 44.279400, -146.903000, 153.431274, -73.226181
33.962299, 49.775101, -180.363007, 187.105255, -74.571991
26.865700, 58.614799, -222.841995, 230.421890, -75.263130
21.343901, 69.542397, -273.648987, 282.347137, -75.741272
17.307699, 82.224899, -330.309998, 340.390411, -76.021332
13.636400, 100.126999, -407.677002, 419.792755, -76.201065
10.714300, 123.499001, -503.636993, 518.557800, -76.222130
8.490570, 152.509003, -617.168030, 635.732178, -76.119644
6.716420, 190.154999, -755.775024, 779.329712, -75.877373
5.294120, 239.794006, -926.434998, 956.965515, -75.488319
4.166670, 304.136993, -1135.040039, 1175.080933, -74.999817
3.308820, 383.666992, -1376.420044, 1428.892090, -74.424576
2.616280, 488.035004, -1670.920044, 1740.733154, -73.718208
2.073730, 618.927979, -2018.520020, 2111.278076, -72.953171
1.642340, 784.254028, -2430.780029, 2554.162598, -72.118484
1.300580, 989.823975, -2913.949951, 3077.475586, -71.238167
1.032110, 1242.189941, -3481.399902, 3696.374023, -70.363220
0.815217, 1542.030029, -4147.330078, 4424.726563, -69.604218
0.646552, 1898.959961, -4920.430176, 5274.152344, -68.896721
0.511364, 2242.800049, -5877.140137, 6290.542969, -69.112434
0.407609, 2708.100098, -6943.270020, 7452.704590, -68.692604
0.321429, 3290.290039, -8392.690430, 9014.614258, -68.592712
0.254525, 3943.729980, -9939.179688, 10693.001953, -68.357506
0.201613, 4673.279785, -11822.099609, 12712.260742, -68.431099
0.159574, 5508.120117, -14102.900391, 15140.382813, -68.666054
0.126689, 6491.529785, -16611.699219, 17835.035156, -68.655418
0.100446, 7505.129883, -20653.099609, 21974.474609, -70.029358
