frequency_hz,z_real_ohm_cm2,z_imag_ohm_cm2,sample_id,target_temperature_C,actual_temperature_C,source_file
720.0,2.07921,-6.69091,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
568.421021,2.50678,-8.18898,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
440.81601,3.09892,-10.154,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
354.097992,3.74799,-12.1923,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
276.923004,4.68591,-14.9366,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
220.408005,5.78961,-17.9891,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
174.194,7.21516,-21.712299,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
137.580002,8.98818,-26.124001,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
109.091003,11.1183,-31.250401,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
87.096802,13.6314,-37.237099,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
68.354401,16.835199,-44.906799,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
54.545502,20.448601,-52.249802,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
42.857101,24.810801,-62.309799,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
33.962299,29.1814,-73.761299,2026.4.29CS,0.0,1.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.4.29CS\2026.4.29CS_T1.0C_seq035.txt
