category,E_MN_eV,E_MN_meV,E_MN_se,T_MN_K,T_MN_se
S8 (All),0.02005015819653765,20.050158196537648,0.0002198920177043184,232.67242413558694,2.5517409042769637
S8 (High T),0.026752860043792757,26.752860043792758,0.001675644039010909,310.4540491867165,19.44504161629706
S8 (Low T),0.020073869548021765,20.073869548021765,0.0006229752003816898,232.94758294357544,7.229327002227406
S60 (Bulk),0.02078839649865917,20.78839649865917,0.0003846722322531459,241.23932389072283,4.463935890113958
