sample_id,material,N,R,n_segments,Ea_high_temp,Ea_low_temp,Ea_mean
S60-1-1-1,S60,1,1,4,0.1440398370220107,0.79764762869221,0.38405029220926445
S60-1-3-1,S60,1,3,4,0.9394613172633264,0.856187535823725,0.7350651815149805
S60-2-1-1,S60,2,1,4,0.10548631791203393,0.7818719791629996,0.378475870090537
S60-2-10-1,S60,2,10,4,0.060343622516107476,0.7315018798073836,0.356540662843832
S60-2-11-1,S60,2,11,4,0.2108729813698176,0.4036505513048612,0.35795028186080113
S60-2-12-1,S60,2,12,4,0.17173287674226542,0.7692011695197999,0.3600783838213819
S60-2-13-1,S60,2,13,4,0.059711122020994836,0.7071926918262589,0.37942047761048114
S60-2-14-1,S60,2,14,4,0.13680090299146597,0.8130373443628552,0.34440527868109444
S60-2-2-1,S60,2,2,4,0.05185402134406283,0.717079844561003,0.32969149933205655
S60-2-3-1,S60,2,3,2,0.09523454713488302,0.7770771960434341,0.43615587158915853
S60-2-4-1,S60,2,4,4,0.0473337574049323,0.6364427258967179,0.2715415385450103
S60-2-6-1,S60,2,6,4,0.0741110357725562,0.7356762090862663,0.3498448968044853
S60-2-7-1,S60,2,7,4,0.11899553377773366,0.6147057859755809,0.29999469071749385
S60-2-7-2,S60,2,7,4,0.17752544530544156,0.7243798100154797,0.42824072328645124
S60-2-8-1,S60,2,8,4,0.14097458247658265,0.8065617358322267,0.38878833433497517
S60-2-9-1,S60,2,9,4,0.1288800568673657,0.7886285983586576,0.3316743495940384
S8-2-1-1,S8,2,1,2,0.20415859150946467,0.9252316707375889,0.5646951311235268
S8-2-1-2,S8,2,1,2,0.16378746761498794,0.5457057092742814,0.3547465884446347
S8-2-2-1,S8,2,2,2,0.5042296644656525,0.8675665108415722,0.6858980876536124
S8-2-2-2,S8,2,2,2,0.22272672811261987,0.7292088301285863,0.47596777912060306
S8-3-1-1,S8,3,1,2,0.19771554716426104,0.49231545829348994,0.3450155027288755
S8-3-1-2,S8,3,1,4,0.12863935598445764,0.6460835859318489,0.3664588170677501
S8-3-10-1,S8,3,10,4,0.10150063535361925,0.9126809435551388,0.39177570043333615
S8-3-11-1,S8,3,11,4,0.3172778604548202,1.1227672738152943,0.6454031706792855
S8-3-11-2,S8,3,11,4,0.08103630277152096,0.8868735198616705,0.37054367594303395
S8-3-2-1,S8,3,2,4,0.17102235293156576,0.9978807996795185,0.4855097751860239
S8-3-2-2,S8,3,2,3,0.09585332021258308,0.9454119013182641,0.495753924321155
S8-3-2-3,S8,3,2,2,0.14125359810634988,0.7183678040694074,0.4298107010878786
S8-3-2-4,S8,3,2,2,0.15257643652107436,0.4246148246366392,0.2885956305788568
S8-3-2-5,S8,3,2,2,0.1934781794370317,0.8797123959613724,0.5365952876992021
S8-3-20-1-1,S8,3,20,4,0.1006587160059971,0.903092365155823,0.39370283602630235
S8-3-21-1-1,S8,3,21,4,0.15294862591263927,1.0242399985472908,0.47038423883344943
S8-3-22-1-1,S8,3,22,4,0.15823019157894128,0.9734000027043501,0.45608218370599185
S8-3-23-2-1,S8,3,23,4,0.2406698577837363,1.1211154563758827,0.5733811380113829
S8-3-25-1-1,S8,3,25,4,0.17363409375510885,0.9781973525868022,0.4682409786455731
S8-3-27-1-1,S8,3,27,2,0.09719171198445584,0.19249371301815937,0.1448427125013076
S8-3-28-1-1,S8,3,28,4,0.08692197792342883,0.9813485584304942,0.503164188722179
S8-3-29-1-1,S8,3,29,1,0.2317970879458667,0.2317970879458667,0.2317970879458667
S8-3-3-1,S8,3,3,2,0.16363330085952763,0.6543130629261986,0.40897318189286314
S8-3-31-1-1,S8,3,31,4,0.09353456358769166,0.7678022904394656,0.3418616974370103
S8-3-32-1-1,S8,3,32,4,0.07821414720923345,0.9337083650112883,0.39180562600393265
S8-3-33-1-1,S8,3,33,4,0.030061956812145848,0.6502298775738106,0.26112118529903483
S8-3-35-1-1,S8,3,35,4,0.2420023544623153,1.0004676081351822,0.5338561904232966
S8-3-37-1-1,S8,3,37,3,0.07252140337227897,1.1327695683501604,0.5826935476577496
S8-3-38-1-1,S8,3,38,4,0.08236663865623892,0.9065938301501094,0.3790959529438298
S8-3-4-1,S8,3,4,2,0.09379419414044222,0.6035222890008569,0.34865824157064956
S8-3-5-1,S8,3,5,2,0.1890772675116994,0.7724973568531761,0.48078731218243775
S8-3-6-1,S8,3,6,3,0.11174773246310307,0.6858490953266501,0.36742516971886935
S8-3-6-2,S8,3,6,4,0.13755123718115736,1.0317728029170605,0.4674515446629276
S8-3-6-3,S8,3,6,2,0.16666880919844237,0.7322958903366379,0.44948234976754015
S8-3-7-1,S8,3,7,4,0.17348037022326862,0.9561573155023959,0.4568659291241301
S8-3-7-2,S8,3,7,1,0.379311056531261,0.379311056531261,0.379311056531261
S8-3-8-2,S8,3,8,4,0.07039750505638219,1.1471332380519896,0.4620176696743942
S8-3-9-2,S8,3,9,4,0.18205699427712804,0.8903307895735086,0.45888676581360166
S8-3-9-3,S8,3,9,4,0.07961200612174245,0.9000370775570703,0.37298142860832484
