sample_id,Ea_observed_eV,Ea_predicted_eV,residual_eV,R,T_avg_K
S60-1-1-1,0.1440398370220107,0.18072067112590062,-0.03668083410388992,1.0408,293.6
S60-1-1-1,0.2551811470465397,0.3007132094381556,-0.04553206239161589,1.0408,276.9
S60-1-1-1,0.3393325560762973,0.49004378380026525,-0.15071122772396794,1.0408,249.575
S60-1-1-1,0.79764762869221,0.7451547004530215,0.0524929282391885,1.0408,210.5833333333333
S60-1-3-1,0.9394613172633264,0.20221353828910318,0.7372477789742232,1.0408,290.64166666666665
S60-1-3-1,0.4863058571752325,0.35966633827975186,0.12663951889548064,1.0408,268.525
S60-1-3-1,0.6583060157976375,0.5726515266986287,0.08565448909900875,1.0408,237.24166666666667
S60-1-3-1,0.856187535823725,0.7854405087189114,0.07074702710481362,1.0408,204.16666666666669
S60-2-1-1,0.1054863179120339,0.051131172259229196,0.05435514565280471,0.076,287.0
S60-2-1-1,0.1718670557271326,0.24784644745954185,-0.07597939173240925,0.076,258.84166666666664
S60-2-1-1,0.4546781275599819,0.4572336035645015,-0.002555476004519608,0.076,227.3
S60-2-1-1,0.7818719791629996,0.669258051677248,0.11261392748575161,0.076,193.41666666666669
S60-2-10-1,0.0603436225161074,0.11190436948085247,-0.05156074696474507,0.4079,282.68333333333334
S60-2-10-1,0.2730960019532443,0.31187139586521406,-0.03877539391196977,0.4079,253.91666666666663
S60-2-10-1,0.3612211470985926,0.441942368122741,-0.08072122102414842,0.4079,234.41666666666669
S60-2-10-1,0.7315018798073836,0.6585521186832333,0.0729497611241503,0.4079,200.35
S60-2-11-1,0.2108729813698176,0.13391596378504048,0.07695701758477713,0.5511,282.825
S60-2-11-1,0.3092500402631075,0.34355456128708933,-0.03430452102398185,0.5511,252.675
S60-2-11-1,0.5080275545054184,0.5397678406989799,-0.03174028619356151,0.5511,222.96666666666667
S60-2-11-1,0.4036505513048612,0.79124636290543,-0.38759581160056883,0.5511,182.375
