temperature_C,rb_code_ohm,rb_manual_ohm,delta_rb_ohm
-69.0,12154.299805,13658.0,-1503.7001949999994
-66.0,6725.870117,6960.0,-234.1298829999996
-63.0,4601.189941,4728.0,-126.81005900000036
-60.0,4142.220215,4192.0,-49.77978499999972
-57.0,1496.400024,1442.0,54.40002400000003
-54.0,797.554993,819.9,-22.34500700000001
-51.0,534.56897,554.1,-19.531029999999987
-48.0,303.2647449105954,330.9,-27.635255089404552
-45.0,201.89308141130982,207.15,-5.2569185886901835
-42.0,149.56707254883705,151.8,-2.232927451162965
-39.0,104.84422991826666,106.5,-1.655770081733337
-36.0,94.68092526366407,95.15,-0.46907473633594066
-33.0,64.28569035906104,64.645,-0.35930964093896023
-30.0,48.60365597155254,48.685,-0.08134402844746091
-27.0,35.90073282510653,35.915,-0.014267174893468848
-24.0,27.135713490125234,27.125,0.010713490125233704
-21.0,20.61300754140784,20.6,0.013007541407837664
-18.0,16.21340765047512,16.176666666666666,0.036740983808453365
-15.0,12.683334276497098,12.655000000000001,0.02833427649709641
-12.0,10.265541121077423,10.225000000000001,0.04054112107742114
-9.0,8.65710564396227,8.6175,0.039605643962270065
-6.0,7.109908719058195,7.077,0.032908719058195146
-3.0,6.0540662188467795,6.0145,0.03956621884677958
0.0,5.187255741442533,5.148,0.039255741442532965
3.0,4.618910807997915,4.5794999999999995,0.03941080799791585
6.0,4.105262320739606,4.0440000000000005,0.06126232073960569
9.0,3.6669885190817597,3.625,0.04198851908175971
12.0,3.3687473007942472,3.2975,0.07124730079424735
15.0,3.1336283970264,3.0629999999999997,0.07062839702640034
18.0,2.824705217435789,2.7655000000000003,0.05920521743578888
21.0,2.666981168399369,2.58,0.08698116839936887
22.0,2.8234403248061235,2.762,0.06144032480612349
24.0,2.479690414030494,2.4050000000000002,0.07469041403049381
