temperature_C,rb_code_ohm
-69.0,12154.299805
-66.0,6725.870117
-63.0,4601.189941
-60.0,4142.220215
-57.0,1496.400024
-54.0,797.554993
-51.0,534.56897
-48.0,303.2647449105954
-45.0,201.89308141130982
-42.0,149.56707254883705
-39.0,104.84422991826666
-36.0,94.68092526366407
-33.0,64.28569035906104
-30.0,48.60365597155254
-27.0,35.90073282510653
-24.0,27.135713490125234
-21.0,20.61300754140784
-18.0,16.21340765047512
-15.0,12.683334276497098
-12.0,10.265541121077423
-9.0,8.65710564396227
-6.0,7.109908719058195
-3.0,6.0540662188467795
0.0,5.187255741442533
3.0,4.618910807997915
6.0,4.105262320739606
9.0,3.6669885190817597
12.0,3.3687473007942472
15.0,3.1336283970264
18.0,2.824705217435789
21.0,2.666981168399369
22.0,2.8234403248061235
24.0,2.479690414030494
