sample_id,Ea_observed_eV,Ea_predicted_eV,residual_eV,R,N,T_avg_K
S8-2-1-1,0.2041585915094646,0.20772848444857264,-0.0035698929391080325,1.0408163265306123,4.656000000000001,270.25
S8-2-1-1,0.9252316707375888,0.9012187939520578,0.02401287678553099,1.0408163265306123,4.656000000000001,207.8
S8-2-1-2,0.1637874676149879,0.20050901313120756,-0.036721545516219645,1.0408163265306123,4.656000000000001,274.825
S8-2-1-2,0.5457057092742814,0.5337961217989218,0.01190958747535964,1.0408163265306123,4.656000000000001,219.95
S8-2-2-1,0.5042296644656525,0.3660179863500621,0.13821167811559043,1.040816326530612,4.1386666666666665,283.075
S8-2-2-1,0.8675665108415722,0.868496767246074,-0.0009302564045018391,1.040816326530612,4.1386666666666665,214.575
S8-2-2-2,0.2227267281126198,0.3039528899868927,-0.0812261618742729,1.040816326530612,4.1386666666666665,279.025
S8-2-2-2,0.7292088301285863,0.6883796625214736,0.04082916760711264,1.040816326530612,4.1386666666666665,226.95
S8-3-1-1,0.197715547164261,0.21583847002290388,-0.018122922858642865,0.3865699438677833,3.892,270.15
S8-3-1-1,0.4923154582934899,0.6371760721164701,-0.1448606138229802,0.3865699438677833,3.892,210.8
S8-3-1-2,0.1286393559844576,0.16660889491935346,-0.03796953893489585,0.3865699438677833,3.892,288.775
S8-3-1-2,0.2789101278349105,0.22646212962717202,0.05244799820773846,0.3865699438677833,3.892,262.275
S8-3-1-2,0.4122021985197833,0.4534389361784703,-0.04123673765868702,0.3865699438677833,3.892,241.34166666666667
S8-3-1-2,0.6460835859318489,0.601047074916352,0.04503651101549688,0.3865699438677833,3.892,223.85
S8-3-10-1,0.1015006353536192,0.11314603612256342,-0.011645400768944228,0.458644786705142,4.926666666666667,285.54166666666663
S8-3-10-1,0.1873571923872646,0.19492627656472225,-0.007569084177457663,0.458644786705142,4.926666666666667,258.4583333333333
S8-3-10-1,0.3655640304373218,0.400871367912471,-0.03530733747514925,0.458644786705142,4.926666666666667,231.96666666666664
S8-3-10-1,0.9126809435551388,0.9193134021925381,-0.006632458637399252,0.458644786705142,4.926666666666667,195.91666666666663
S8-3-11-1,0.3172778604548202,0.20639878172594311,0.11087907872887709,0.3079344114331621,4.492933333333334,282.0625
S8-3-11-1,0.4843031163653903,0.4118736746296962,0.0724294417356941,0.3079344114331621,4.492933333333334,255.03250000000003
S8-3-11-1,0.657264432081637,0.4849927563634231,0.1722716757182139,0.3079344114331621,4.492933333333334,237.7675
S8-3-11-1,1.1227672738152945,1.0094648897921326,0.11330238402316195,0.3079344114331621,4.492933333333334,211.4525
S8-3-11-2,0.0810363027715209,0.12383143660458842,-0.04279513383306753,0.3079344114331621,4.492933333333334,285.69166666666666
S8-3-11-2,0.1681444878895938,0.22804743078518108,-0.059902942895587286,0.3079344114331621,4.492933333333334,257.325
S8-3-11-2,0.3461203932493505,0.44884821882648707,-0.10272782557713656,0.3079344114331621,4.492933333333334,226.625
S8-3-11-2,0.8868735198616705,0.9249798430623641,-0.038106323200693626,0.3079344114331621,4.492933333333334,186.49166666666667
S8-3-2-1,0.1710223529315657,0.14482287814676215,0.026199474784803556,0.2941272648899327,4.2860000000000005,292.9666666666667
S8-3-2-1,0.2976801628688463,0.23111156487805795,0.06656859799078835,0.2941272648899327,4.2860000000000005,271.9916666666667
S8-3-2-1,0.475455785264165,0.43798824798862895,0.037467537275536034,0.2941272648899327,4.2860000000000005,244.2083333333333
S8-3-2-1,0.9978807996795184,0.913352257130075,0.08452854254944342,0.2941272648899327,4.2860000000000005,209.65
S8-3-2-2,0.095853320212583,0.1408486219481677,-0.04499530173558469,0.2941272648899327,4.2860000000000005,281.64166666666665
S8-3-2-2,0.4459965514326176,0.43798824798862895,0.008008303443988674,0.2941272648899327,4.2860000000000005,245.05
S8-3-2-2,0.945411901318264,0.913352257130075,0.032059644188189074,0.2941272648899327,4.2860000000000005,209.3583333333333
S8-3-2-3,0.1412535981063498,0.20148872775448928,-0.060235129648139485,0.2941272648899327,4.2860000000000005,269.6
S8-3-2-3,0.7183678040694074,0.8207839170031392,-0.10241611293373187,0.2941272648899327,4.2860000000000005,207.35
S8-3-2-4,0.1525764365210743,0.1853569928385832,-0.0327805563175089,0.2941272648899327,4.2860000000000005,283.175
S8-3-2-4,0.4246148246366392,0.43313531042226733,-0.00852048578562814,0.2941272648899327,4.2860000000000005,225.625
S8-3-2-5,0.1934781794370317,0.2202513466388334,-0.0267731672018017,0.2941272648899327,4.2860000000000005,270.65
S8-3-2-5,0.8797123959613724,0.8472297349827861,0.03248266097858632,0.2941272648899327,4.2860000000000005,208.8
S8-3-20-1-1,0.1006587160059971,0.10362868293118632,-0.0029699669251892213,0.4079387858179356,4.591600000000001,287.25
S8-3-20-1-1,0.1937960998572896,0.20560925754553488,-0.011813157688245285,0.4079387858179356,4.591600000000001,261.69166666666666
S8-3-20-1-1,0.3772641630860995,0.39916450124366365,-0.021900338157564148,0.4079387858179356,4.591600000000001,233.6833333333333
S8-3-20-1-1,0.903092365155823,0.8982204534412606,0.004871911714562471,0.4079387858179356,4.591600000000001,196.94166666666663
S8-3-21-1-1,0.1529486259126392,0.1458403989299673,0.007108226982671884,0.5511248511687172,4.690266666666666,288.6
S8-3-21-1-1,0.2580016648358436,0.23307485690792046,0.024926807927923122,0.5511248511687172,4.690266666666666,264.5916666666667
S8-3-21-1-1,0.4463466660380241,0.45330077165192445,-0.006954105613900363,0.5511248511687172,4.690266666666666,236.84166666666667
S8-3-21-1-1,1.0242399985472908,0.9666681090945654,0.0575718894527254,0.5511248511687172,4.690266666666666,201.50833333333333
S8-3-22-1-1,0.1582301915789412,0.14219475360118966,0.016035437977751532,0.2040451455952585,4.344933333333333,288.75
S8-3-22-1-1,0.2605852359674677,0.2481428315384089,0.012442404429058779,0.2040451455952585,4.344933333333333,264.925
S8-3-22-1-1,0.4321133045732082,0.4676839945592623,-0.035570689986054116,0.2040451455952585,4.344933333333333,238.5583333333333
S8-3-22-1-1,0.97340000270435,0.9653943640187309,0.008005638685619099,0.2040451455952585,4.344933333333333,200.6833333333333
S8-3-23-2-1,0.2406698577837363,0.23643027961487825,0.00423957816885806,0.1521902146952619,3.881733333333334,293.08333333333337
S8-3-23-2-1,0.3559772478309905,0.30371846541422437,0.052258782416766125,0.1521902146952619,3.881733333333334,273.7583333333333
S8-3-23-2-1,0.5757619900549222,0.559616661825363,0.016145328229559275,0.1521902146952619,3.881733333333334,247.475
S8-3-23-2-1,1.1211154563758827,0.976730747457574,0.14438470891830868,0.1521902146952619,3.881733333333334,213.925
S8-3-24-1-1,0.4471626065341108,0.15216504495553876,0.29499756157857204,0.0684005309440849,2.91696,276.02333333333337
S8-3-25-1-1,0.1736340937551088,0.187024964125816,-0.013390870370707214,1.0408163265306123,5.173333333333333,291.44166666666666
S8-3-25-1-1,0.2783490842938581,0.2421342819338176,0.03621480236004046,1.0408163265306123,5.173333333333333,271.7
S8-3-25-1-1,0.4427833839465234,0.4254721209436616,0.017311263002861788,1.0408163265306123,5.173333333333333,246.70833333333331
S8-3-25-1-1,0.9781973525868022,0.9704423104006464,0.007755042186155747,1.0408163265306123,5.173333333333333,212.1833333333333
S8-3-27-1-1,0.0971917119844558,0.1379803603784612,-0.04078864839400541,0.0,2.7580000000000005,294.4833333333333
S8-3-27-1-1,0.1924937130181593,0.16820499784224152,0.02428871517591777,0.0,2.7580000000000005,278.725
S8-3-28-1-1,0.0869219779234288,0.09999097754832768,-0.01306899962489888,0.0641214250069669,3.3986666666666667,287.125
S8-3-28-1-1,0.1711204476965148,0.1937745451988128,-0.022654097502297993,0.0641214250069669,3.3986666666666667,264.3833333333333
S8-3-28-1-1,0.7732657708382784,0.6932864305123294,0.079979340325949,0.0641214250069669,3.3986666666666667,240.59166666666667
S8-3-28-1-1,0.9813485584304942,0.9058357194024317,0.0755128390280625,0.0641214250069669,3.3986666666666667,204.4333333333333
S8-3-29-1-1,0.2317970879458667,0.2020062731144459,0.029790814831420792,0.0,1.182,283.925
S8-3-3-1,0.1636333008595276,0.204427129687097,-0.040793828827569406,0.1712623980890066,3.645333333333333,270.575
S8-3-3-1,0.6543130629261986,0.737595972964589,-0.08328291003839039,0.1712623980890066,3.645333333333333,209.175
S8-3-31-1-1,0.0935345635876916,0.09891471399202934,-0.00538015040433773,0.3340714749983821,4.9068,287.2
S8-3-31-1-1,0.1753330796233482,0.17132460991810622,0.00400846970524199,0.3340714749983821,4.9068,261.6
S8-3-31-1-1,0.3307768560975357,0.3803716439890366,-0.0495947878915009,0.3340714749983821,4.9068,234.9333333333333
S8-3-31-1-1,0.7678022904394656,0.8271630097066663,-0.05936071926720077,0.3340714749983821,4.9068,195.725
S8-3-32-1-1,0.0782141472092334,0.10208316763834684,-0.02386902042911343,0.3584084621201487,5.320666666666667,288.66666666666663
S8-3-32-1-1,0.1744511940315569,0.1737137311443021,0.0007374628872547917,0.3584084621201487,5.320666666666667,264.5083333333333
S8-3-32-1-1,0.3808487977636519,0.3824690485321842,-0.0016202507685323386,0.3584084621201487,5.320666666666667,236.38333333333333
S8-3-32-1-1,0.9337083650112884,0.9641308662953791,-0.03042250128409074,0.3584084621201487,5.320666666666667,199.05
S8-3-33-1-1,0.0300619568121458,0.06851170411783787,-0.038449747305692075,0.0641214250069669,4.418266666666667,294.31666666666666
S8-3-33-1-1,0.0768524382025793,0.11230910068925465,-0.03545666248667535,0.0641214250069669,4.418266666666667,278.70000000000005
S8-3-33-1-1,0.2873404686076035,0.21512644573655867,0.07221402287104481,0.0641214250069669,4.418266666666667,257.44166666666666
S8-3-33-1-1,0.6502298775738106,0.792538908126635,-0.1423090305528244,0.0641214250069669,4.418266666666667,213.15
S8-3-35-1-1,0.2420023544623153,0.22010815942068898,0.02189419504162632,0.2996777658431794,4.0,291.69166666666666
S8-3-35-1-1,0.3518271789740603,0.2890354162755035,0.0627917626985568,0.2996777658431794,4.0,270.8666666666667
S8-3-35-1-1,0.5411276201216283,0.5340527040795574,0.007074916042070889,0.2996777658431794,4.0,247.13333333333333
S8-3-35-1-1,1.0004676081351822,0.9875984532443255,0.012869154890856715,0.2996777658431794,4.0,216.41666666666669
S8-3-37-1-1,0.0725214033722789,0.16335619310826793,-0.09083478973598903,0.2996777658431794,4.888888888888889,272.3333333333333
S8-3-37-1-1,0.5427896712508093,0.44074604658101346,0.10204362466979588,0.2996777658431794,4.888888888888889,231.475
S8-3-37-1-1,1.1327695683501604,1.0876693360349263,0.04510023231523408,0.2996777658431794,4.888888888888889,198.2
S8-3-38-1-1,0.0823666386562389,0.09532073693837045,-0.012954098282131551,0.2996777658431793,5.555555555555555,285.7416666666667
S8-3-38-1-1,0.1692269138616624,0.16810125194338207,0.001125661918280313,0.2996777658431793,5.555555555555555,258.875
S8-3-38-1-1,0.3581964291073085,0.3875544687796885,-0.029358039672380043,0.2996777658431793,5.555555555555555,231.025
S8-3-38-1-1,0.9065938301501094,0.9048750022534341,0.0017188278966753234,0.2996777658431793,5.555555555555555,193.28333333333333
S8-3-4-1,0.0937941941404422,0.12477125072665991,-0.030977056586217716,0.0641214250069669,3.3986666666666667,274.55
S8-3-4-1,0.6035222890008569,0.6526386754929697,-0.04911638649211281,0.0641214250069669,3.3986666666666667,219.525
S8-3-5-1,0.1890772675116994,0.20642419600105,-0.0173469284893506,0.6367153877711904,4.532666666666667,270.625
S8-3-5-1,0.7724973568531761,0.8145740662747329,-0.042076709421556835,0.6367153877711904,4.532666666666667,209.175
S8-3-6-1,0.111747732463103,0.16637246870506317,-0.05462473624196017,0.3797497505181546,4.566933333333333,282.95
