statistic,value
n,121
mean,0.08224958633274748
std,0.15907084157299994
median,0.0402453379299217
skewness,0.9449891727484503
kurtosis,0.44266755953982084
shapiro_W,0.9290647634798193
shapiro_p,7.771357072631617e-06
n_peaks,1
is_unimodal,True
