temperature_region,n,mean,std,skewness
Low T,39,0.19777586937991437,0.1868994052868661,0.004200215330599664
Mid T,40,0.007959572942380703,0.11321702953181323,1.5800241384516371
High T,42,0.04572757435120371,0.09628710595828031,0.28131297480801126
