temperature_C,rb_code_ohm
-69.0,12154.299805
-66.0,6725.870117
-63.0,4601.189941
-60.0,4142.220215
-57.0,1496.400024
-54.0,797.554993
-51.0,534.56897
-48.0,303.2647449105954
-45.0,201.89308141130982
-42.0,149.56707254883705
-39.0,104.84422991826666
-36.0,96.54531165925727
-33.0,62.38310458331544
-30.0,48.111350762598605
-27.0,35.72458975761639
-24.0,27.16523351364432
-21.0,20.399983391352617
-18.0,16.36413757122863
-15.0,12.530946565246929
-12.0,10.417897487565048
-9.0,8.670395143394353
-6.0,7.008962595431165
-3.0,6.032636009514637
0.0,5.176939661589034
3.0,4.620856188165338
6.0,4.162857508521746
9.0,3.647270196591229
12.0,3.416491043362184
15.0,3.1529908084845677
18.0,2.8296707889645893
21.0,2.7102409116458954
22.0,2.8234403248061235
24.0,2.501891301369863
