feature,display_name,gbr_importance,importance_mean,importance_std
R,R (Acid ratio),0.0045499861696169045,0.0036282591122892894,0.0013070158049413958
N,N ($\mathregular{H_2O}$ molecules),0.00874206188362565,0.007879614004561934,0.0019266881799417956
T_avg_K,T (Temperature),0.9232408495421338,1.8040004097442008,0.1976672858494392
T_N,T $\times$ N,0.03887910145282196,0.05674984793647312,0.007010715006351344
T_R,T $\times$ R,0.014200344282490281,0.014949332712730657,0.0023122842630694763
R_N,R $\times$ N,0.010387656669311393,0.014769213005710276,0.002527946960633124
