temperature_C,rb_code_ohm
-89.0,16880.0
-83.0,3688.0
-80.0,1934.0
-77.0,1068.0
-74.0,668.8
-71.0,461.6
-68.0,329.2
-65.0,233.3
-62.0,165.2
-53.0,66.91542226221792
-50.0,50.357846921797005
-47.0,37.555831357941074
-44.0,29.436741987981975
-41.0,23.506991150442477
-38.0,18.718529427957936
-35.0,15.616636429006029
-32.0,12.974612318840581
-29.0,10.874236696714162
-26.0,9.276055655296231
-23.0,7.943809806247529
-20.0,7.002959519543434
-17.0,6.199692623765657
-14.0,5.546607471575528
-11.0,5.021419664927218
-8.0,4.692399168687219
-5.0,4.42933729216152
-2.0,4.223272237196766
1.0,4.099545066818311
4.0,3.980408011343495
7.0,3.9444483810076956
10.0,3.9172590501013613
13.0,3.815241232568463
16.0,3.7043783909111987
19.0,3.3946293566712726
