temperature_region,n,mean,std,ci_95_low,ci_95_high
Low T (<230K),39,0.19777586937991437,0.1868994052868661,0.13545523902459589,0.25499920002721793
Mid T (230-270K),40,0.007959572942380703,0.11321702953181323,-0.023030422981716776,0.04518332626238238
High T (>=270K),42,0.04572757435120371,0.09628710595828031,0.017331421898095067,0.07375517048625814
