row_id,sample_id,valid_sigma,valid_temperature,valid_geometry,valid_eis,flags
143,S8-3-11-1,True,True,True,True,[]
144,S8-3-11-1,True,True,True,True,[]
145,S8-3-11-1,True,True,True,True,[]
146,S8-3-11-1,True,True,True,True,[]
147,S8-3-11-1,True,True,True,True,[]
148,S8-3-11-1,True,True,True,True,[]
149,S8-3-11-1,True,True,True,True,[]
150,S8-3-11-1,True,True,True,True,[]
151,S8-3-11-1,True,True,True,True,[]
152,S8-3-11-1,True,True,True,True,[]
153,S8-3-11-1,True,True,True,True,[]
154,S8-3-11-1,True,True,True,True,[]
155,S8-3-11-1,True,True,True,True,[]
156,S8-3-11-1,True,True,True,True,[]
157,S8-3-11-1,True,True,True,True,[]
158,S8-3-11-1,True,True,True,True,[]
159,S8-3-11-1,True,True,True,True,[]
160,S8-3-11-1,True,True,True,True,[]
161,S8-3-11-1,True,True,True,True,[]
162,S8-3-11-1,True,True,True,True,[]
163,S8-3-11-1,True,True,True,True,[]
164,S8-3-11-1,True,True,True,True,[]
165,S8-3-11-1,True,True,True,True,[]
166,S8-3-11-1,True,True,True,True,[]
167,S8-3-11-1,True,True,True,True,[]
168,S8-3-11-1,True,True,True,True,[]
169,S8-3-11-1,True,True,True,True,[]
170,S8-3-11-1,True,True,True,True,[]
171,S8-3-11-1,True,True,True,True,[]
172,S8-3-11-1,True,True,True,True,[]
173,S8-3-11-1,True,True,True,True,[]
174,S8-3-11-1,True,True,True,True,[]
175,S8-3-11-1,True,True,True,True,[]
176,S8-3-11-1,True,True,True,True,[]
177,S8-3-11-1,True,True,True,True,[]
178,S8-3-11-1,True,True,True,True,[]
179,S8-3-11-1,True,True,True,True,[]
180,S8-3-11-1,True,True,True,True,[]
181,S8-3-11-1,True,True,True,True,[]
182,S8-3-11-1,True,True,True,True,[]
183,S8-3-11-1,True,True,True,True,[]
184,S8-3-11-1,True,True,True,True,[]
185,S8-3-11-1,True,True,True,True,[]
186,S8-3-11-1,True,True,True,True,[]
187,S8-3-11-1,True,True,True,True,[]
188,S8-3-11-1,True,True,True,True,[]
189,S8-3-11-1,True,True,True,True,[]
190,S8-3-11-1,True,True,True,True,[]
191,S8-3-11-1,True,True,True,True,[]
192,S8-3-11-1,True,True,True,True,[]
193,S8-3-11-1,True,True,True,True,[]
194,S8-3-11-1,True,True,True,True,[]
195,S8-3-11-1,True,True,True,True,[]
196,S8-3-11-1,True,True,True,True,[]
197,S8-3-11-1,True,True,True,True,[]
198,S8-3-11-1,True,True,True,True,[]
199,S8-3-11-1,True,True,True,True,[]
200,S8-3-11-1,True,True,True,True,[]
201,S8-3-11-1,True,True,True,True,[]
202,S8-3-11-1,True,True,True,True,[]
203,S8-3-11-1,True,True,True,True,[]
204,S8-3-11-1,True,True,True,True,[]
205,S8-3-11-1,True,True,True,True,[]
206,S8-3-11-1,True,True,True,True,[]
207,S8-3-11-1,True,True,True,True,[]
208,S8-3-11-1,True,True,True,True,[]
209,S8-3-11-1,True,True,True,True,[]
210,S8-3-11-1,True,True,True,True,[]
211,S8-3-11-1,True,True,True,True,[]
212,S8-3-11-1,True,True,True,True,[]
213,S8-3-11-1,True,True,True,True,[]
214,S8-3-11-1,True,True,True,True,[]
215,S8-3-11-1,True,True,True,True,[]
216,S8-3-11-1,True,True,True,True,[]
217,S8-3-11-1,True,True,True,True,[]
218,S8-3-11-1,True,True,True,True,[]
219,S8-3-11-1,True,True,True,True,[]
220,S8-3-11-1,True,True,True,True,[]
221,S8-3-11-1,True,True,True,True,[]
222,S8-3-11-1,True,True,True,True,[]
223,S8-3-11-1,True,True,True,True,[]
224,S8-3-11-1,True,True,True,True,[]
225,S8-3-11-1,True,True,True,True,[]
226,S8-3-11-1,True,True,True,True,[]
227,S8-3-11-1,True,True,True,True,[]
228,S8-3-11-1,True,True,True,True,[]
229,S8-3-11-1,True,True,True,True,[]
230,S8-3-11-2,True,True,True,True,[]
231,S8-3-11-2,True,True,True,True,[]
232,S8-3-11-2,True,True,True,True,[]
233,S8-3-11-2,True,True,True,True,[]
234,S8-3-11-2,True,True,True,True,[]
235,S8-3-11-2,True,True,True,True,[]
236,S8-3-11-2,True,True,True,True,[]
237,S8-3-11-2,True,True,True,True,[]
238,S8-3-11-2,True,True,True,True,[]
239,S8-3-11-2,True,True,True,True,[]
240,S8-3-11-2,True,True,True,True,[]
241,S8-3-11-2,True,True,True,True,[]
242,S8-3-11-2,True,True,True,True,[]
243,S8-3-11-2,True,True,True,True,[]
244,S8-3-11-2,True,True,True,True,[]
245,S8-3-11-2,True,True,True,True,[]
246,S8-3-11-2,True,True,True,True,[]
247,S8-3-11-2,True,True,True,True,[]
248,S8-3-11-2,True,True,True,True,[]
249,S8-3-11-2,True,True,True,True,[]
250,S8-3-11-2,True,True,True,True,[]
251,S8-3-11-2,True,True,True,True,[]
252,S8-3-11-2,True,True,True,True,[]
253,S8-3-11-2,True,True,True,True,[]
254,S8-3-11-2,True,True,True,True,[]
255,S8-3-11-2,True,True,True,True,[]
256,S8-3-11-2,True,True,True,True,[]
257,S8-3-11-2,True,True,True,True,[]
258,S8-3-11-2,True,True,True,True,[]
259,S8-3-11-2,True,True,True,True,[]
260,S8-3-11-2,True,True,True,True,[]
261,S8-3-11-2,True,True,True,True,[]
262,S8-3-11-2,True,True,True,True,[]
263,S8-3-11-2,True,True,True,True,[]
264,S8-3-11-2,True,True,True,True,[]
265,S8-3-11-2,True,True,True,True,[]
266,S8-3-11-2,True,True,True,True,[]
267,S8-3-11-2,True,True,True,True,[]
268,S8-3-11-2,True,True,True,True,[]
269,S8-3-11-2,True,True,True,True,[]
270,S8-3-11-2,True,True,True,True,[]
271,S8-3-2-1,True,True,True,True,[]
272,S8-3-2-1,True,True,True,True,[]
273,S8-3-2-1,True,True,True,True,[]
274,S8-3-2-1,True,True,True,True,[]
275,S8-3-2-1,True,True,True,True,[]
276,S8-3-2-1,True,True,True,True,[]
277,S8-3-2-1,True,True,True,True,[]
278,S8-3-2-1,True,True,True,True,[]
279,S8-3-2-1,True,True,True,True,[]
280,S8-3-2-1,True,True,True,True,[]
281,S8-3-2-1,True,True,True,True,[]
282,S8-3-2-1,True,True,True,True,[]
283,S8-3-2-1,True,True,True,True,[]
284,S8-3-2-1,True,True,True,True,[]
285,S8-3-2-1,True,True,True,True,[]
