# Part 1: Measurement Data
1000_T_K_inv,T_K,T_C,sigma_S_cm,log10_sigma_mS_cm
3.333333,300.000000,26.850000,0.005642,0.751441
3.342693,299.160000,26.010000,0.005642,0.751416
3.352105,298.320000,25.170000,0.005543,0.743762
3.361571,297.480000,24.330000,0.005414,0.733557
3.371090,296.640000,23.490000,0.005277,0.722371
3.380663,295.800000,22.650000,0.005137,0.710733
3.390290,294.960000,21.810000,0.004997,0.698740
3.399973,294.120000,20.970000,0.004858,0.686472
3.409711,293.280000,20.130000,0.004720,0.673967
3.419505,292.440000,19.290000,0.004584,0.661221
3.429296,291.605000,18.455000,0.004448,0.648210
3.439144,290.770000,17.620000,0.004315,0.634958
3.448989,289.940000,16.790000,0.004183,0.621516
3.458891,289.110000,15.960000,0.004054,0.607845
3.468850,288.280000,15.130000,0.003925,0.593843
3.478805,287.455000,14.305000,0.003799,0.579630
3.488879,286.625000,13.475000,0.003673,0.565074
3.499012,285.795000,12.645000,0.003550,0.550237
3.509203,284.965000,11.815000,0.003429,0.535120
3.519454,284.135000,10.985000,0.003309,0.519631
3.529702,283.310000,10.160000,0.003191,0.503861
3.540074,282.480000,9.330000,0.003075,0.487776
3.550506,281.650000,8.500000,0.002960,0.471353
3.561000,280.820000,7.670000,0.002848,0.454526
3.571556,279.990000,6.840000,0.002738,0.437394
3.582239,279.155000,6.005000,0.002630,0.419895
3.592922,278.325000,5.175000,0.002524,0.402047
3.603669,277.495000,4.345000,0.002420,0.383811
3.614480,276.665000,3.515000,0.002319,0.365243
3.625356,275.835000,2.685000,0.002219,0.346236
3.636364,275.000000,1.850000,0.002123,0.326887
3.647372,274.170000,1.020000,0.002029,0.307194
3.658447,273.340000,0.190000,0.001937,0.287151
3.669590,272.510000,-0.640000,0.001848,0.266714
3.680801,271.680000,-1.470000,0.001761,0.245858
3.692080,270.850000,-2.300000,0.001677,0.224521
3.703429,270.020000,-3.130000,0.001595,0.202856
3.714848,269.190000,-3.960000,0.001516,0.180708
3.726338,268.360000,-4.790000,0.001439,0.158150
3.737968,267.525000,-5.625000,0.001364,0.134898
