T_avg_K,delta_Ea,fitted,residual,std_residual
270.25,-0.1434373041378167,0.03338569255714374,-0.17682299669496043,-1.2325065351616504
207.8,0.1625380560017862,0.16648696472034563,-0.003948908718559435,-0.02752501593883482
274.825,-0.1516135007104765,0.02363487878377868,-0.17524837949425517,-1.2215310058101423
219.95,-0.1397867705570403,0.140591360928786,-0.2803781314858263,-1.9543152521548817
283.075,0.2475011927848234,0.006051444110497406,0.241449748674326,1.682973361590621
214.575,0.1477092309681076,0.1520472350341056,-0.004338004065998019,-0.030237121080601795
279.025,-0.0629036484424366,0.01468331204101736,-0.07758696048345395,-0.540803162634734
226.95,0.0889748935544004,0.1256720830241837,-0.0366971894697833,-0.2557898389291481
270.15,0.0004280403148249,0.033598825098638097,-0.0331707847838132,-0.2312097961614039
210.8,-0.0982303380353972,0.16009298847551612,-0.25832332651091333,-1.8005869941150685
288.775,0.0632188378726319,-0.00609711075467867,0.06931594862731057,0.48315185960494683
262.275,0.0270818895791138,0.050383012741315736,-0.023301123162201936,-0.1624154499743239
241.34166666666667,0.0189050914071718,0.09499875809412639,-0.0760936666869546,-0.5303944805203998
223.85,0.1384901121116413,0.13227919181050757,0.006210920301133738,0.04329187947041319
285.54166666666663,0.0025367228939777,0.0007941747536376331,0.0017425481403400668,0.012146055722084275
258.4583333333333,-0.1011184176085283,0.0585175714083489,-0.1596359890168772,-1.1127082075738972
231.96666666666664,-0.1000191730735048,0.11497993385921879,-0.2149991069327236,-1.4986048721119352
195.91666666666663,0.2192166433321845,0.19181421506792062,0.027402428264263867,0.19100271201300204
282.0625,0.2134325498045215,0.008209411093127339,0.20522313871139417,1.4304635955498888
255.03250000000003,0.1926406596332642,0.06581913705904163,0.12682152257422258,0.8839820515061715
237.7675,0.2500895120085182,0.10261647034803578,0.14747304166048242,1.0279290081270929
211.4525,0.5462077847246174,0.1587022986422657,0.3875054860823517,2.7010233563194803
285.69166666666666,0.0030560156467009,0.00047447594139604643,0.0025815397053048535,0.01799406534805207
257.325,-0.1079188065608727,0.06093307354528443,-0.16885188010615715,-1.1769455873671517
226.625,-0.1337610166580418,0.1263647637840402,-0.260125780442082,-1.8131506102227946
186.49166666666667,0.1570982785339637,0.21190195710376003,-0.054803678569796344,-0.381997213318903
292.9666666666667,0.1468348387351494,-0.01503091645231569,0.1618657551874651,1.1282503114206774
271.9916666666667,0.1243622299518464,0.029673634126117676,0.09468859582572872,0.660006420781449
244.2083333333333,0.1124885104857355,0.08888895857128931,0.023599551914446182,0.1644955831826514
209.65,0.4115623656938469,0.16254401270270075,0.24901835299114616,1.735728684466559
281.64166666666665,-0.0094902882924283,0.009106343871916,-0.0185966321643443,-0.129623810833226
245.05,0.088642469343927,0.08709509301371199,0.0015473763302150112,0.010785652743090336
209.3583333333333,0.357267604749881,0.1631656492820593,0.19410195546782172,1.3529457880099607
269.6,-0.048743476873143,0.03477105407685677,-0.08351453094999978,-0.5821200132378951
207.35,0.1176780351159884,0.16744606115707011,-0.049768026041081714,-0.34689728420079774
283.175,0.0581334293402533,0.005838311569003052,0.052295117771250246,0.3645118316895433
225.625,-0.0601854394700766,0.12849608919898342,-0.18868152866906002,-1.3151638728874377
270.65,0.0107954520055485,0.03253316239116655,-0.02173771038561805,-0.15151801864292863
208.8,0.2880756400563811,0.16435563930540248,0.12372000075097861,0.862363563031569
287.25,0.0213797522633429,-0.002846839496890352,0.024226591760233254,0.16886622909514284
261.69166666666666,-0.0649843606579216,0.05162628590003249,-0.11661064655795408,-0.812809344024651
233.6833333333333,-0.0694888910565617,0.11132115856356628,-0.18081004962012798,-1.2602974270600706
196.94166666666663,0.2236067774403961,0.18962960651760385,0.03397717092279223,0.2368305367026921
288.6,0.0603908075535127,-0.005724128807063744,0.06611493636057644,0.4608398944667898
264.5916666666667,-0.0039637724878291,0.04544544219669722,-0.04940921468452632,-0.34439626708135795
236.84166666666667,-0.0030653385298949,0.10458972246137066,-0.10765506099126557,-0.750386367695478
