Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -1.410300, 2.855400, 3.184691, 63.714935
276480.000000, -0.805422, 2.205800, 2.348246, 69.940918
197486.000000, -0.102512, 1.583330, 1.586645, 86.295563
153600.000000, 0.181454, 1.190850, 1.204595, 81.336281
125673.000000, 0.347835, 0.946781, 1.008654, 69.827332
98742.898438, 0.476680, 0.713776, 0.858312, 56.263870
76800.000000, 0.553767, 0.509163, 0.752267, 42.597092
60104.300781, 0.608708, 0.300212, 0.678714, 26.252302
49371.398438, 0.630597, 0.190904, 0.658860, 16.842918
38400.000000, 0.648626, 0.058644, 0.651272, 5.166174
30052.199219, 0.664675, -0.062509, 0.667608, -5.372523
23834.500000, 0.681067, -0.177641, 0.703853, -14.618618
18681.099609, 0.701493, -0.302866, 0.764081, -23.352022
14706.400391, 0.725566, -0.438480, 0.847768, -31.145748
11520.000000, 0.754591, -0.592494, 0.959404, -38.138496
9600.000000, 0.780133, -0.724058, 1.064362, -42.865047
7513.040039, 0.820288, -0.928518, 1.238958, -48.541401
5760.000000, 0.875529, -1.197560, 1.483476, -53.829685
4547.370117, 0.933837, -1.488440, 1.757130, -57.896118
3600.000000, 1.003410, -1.841230, 2.096893, -61.411064
2880.000000, 1.086230, -2.249430, 2.497965, -64.224518
2273.679932, 1.189750, -2.754650, 3.000600, -66.640198
1781.439941, 1.324700, -3.419850, 3.667452, -68.825813
1416.390015, 1.498170, -4.185500, 4.445551, -70.305550
1122.079956, 1.705400, -5.143200, 5.418570, -71.655327
900.000000, 1.967920, -6.252990, 6.555348, -72.530334
720.000000, 2.294350, -7.592790, 7.931867, -73.186501
568.421021, 2.736720, -9.319060, 9.712596, -73.634125
440.816010, 3.359680, -11.625800, 12.101515, -73.881523
354.097992, 4.036470, -14.013300, 14.583061, -73.931183
276.923004, 5.018800, -17.257099, 17.972084, -73.784248
220.408005, 6.177290, -20.890400, 21.784575, -73.527069
174.194000, 7.695740, -25.367701, 26.509331, -73.123894
137.580002, 9.634000, -30.740499, 32.214783, -72.599136
109.091003, 12.020400, -37.033901, 38.935844, -72.017685
87.096802, 14.863500, -44.291199, 46.718666, -71.448975
68.354401, 18.658300, -53.736000, 56.883125, -70.851898
54.545502, 23.076000, -62.804699, 66.909882, -69.825417
42.857101, 28.515499, -75.105499, 80.336601, -69.209602
33.962299, 34.089199, -89.030403, 95.333549, -69.048470
26.865700, 41.492699, -106.011002, 113.841896, -68.624626
21.343901, 49.799801, -125.546997, 135.063202, -68.363632
17.307699, 58.445301, -146.723999, 157.936020, -68.280876
13.636400, 69.322899, -174.895996, 188.133652, -68.378296
10.714300, 81.734100, -209.194000, 224.594284, -68.658936
8.490570, 95.052101, -249.373993, 266.875031, -69.135025
6.716420, 109.911003, -298.359985, 317.960876, -69.777008
5.294120, 126.559998, -359.160004, 380.806183, -70.588676
4.166670, 145.001007, -434.848999, 458.387329, -71.558968
3.308820, 164.688004, -525.046997, 550.269470, -72.585274
2.616280, 187.371002, -638.302002, 665.234802, -73.640610
2.073730, 212.664001, -777.697021, 806.249756, -74.706146
1.642340, 241.714005, -951.094971, 981.329346, -75.740578
1.300580, 276.428986, -1166.359985, 1198.669556, -76.666817
1.032110, 316.575989, -1431.540039, 1466.126587, -77.530090
0.815217, 365.252014, -1765.800049, 1803.180176, -78.313301
0.646552, 411.110992, -2171.550049, 2210.122559, -79.279823
0.511364, 477.257996, -2704.770020, 2746.553467, -79.993134
0.407609, 559.377014, -3325.449951, 3372.168457, -80.451614
0.321429, 655.119019, -4159.890137, 4211.159668, -81.050316
0.254525, 781.469971, -5147.020020, 5206.007324, -81.366737
0.201613, 931.994019, -6370.640137, 6438.452148, -81.676964
0.159574, 1115.609985, -7898.930176, 7977.323242, -81.960953
0.126689, 1338.319946, -9769.929688, 9861.166992, -82.199989
0.100446, 1618.119995, -12108.700195, 12216.338867, -82.388489
