temperature_C,rb_code_ohm
-81.0,479.31601
-78.0,477.355988
-75.0,2548.75
-72.0,1500.290039
-69.0,759.515015
-66.0,483.802002
-63.0,275.389008
-60.0,139.7753777187969
-57.0,81.68333580566124
-54.0,55.63003298955811
-51.0,20.64612866284718
-48.0,12.370901532705844
-45.0,7.0815666340029395
-42.0,4.022530443835875
-39.0,2.7104998045658864
-36.0,1.914813326034847
-33.0,1.3108615058851476
-30.0,0.7791578190815864
-27.0,0.7542138620656136
-24.0,0.7395477078171376
-21.0,0.7198271512236828
-18.0,0.7045828274740127
-15.0,0.6792895638275463
-12.0,0.6577415807855763
-9.0,0.627119177880715
-6.0,0.6199914758632177
-3.0,0.6148535298929697
0.0,0.6053739012378615
3.0,0.5960426549013317
6.0,0.5943309517694929
9.0,0.5838386113437276
12.0,0.5801590450956421
15.0,0.5687449124481213
18.0,0.5662964617263844
20.0,0.6359714076619447
