T_K,delta_Ea_pred,ci_lower,ci_upper
181.49166666666667,0.22255858417847596,0.16334665826582073,0.2817705100911312
182.08458961474037,0.22129487243014345,0.16251271676951085,0.28007702809077606
182.6775125628141,0.2200311606818109,0.16167800932260237,0.27838431204101943
183.27043551088778,0.21876744893347838,0.1608425189067157,0.27669237896024107
183.86335845896147,0.21750373718514593,0.16000622802801115,0.27500124634228074
184.4562814070352,0.21624002543681337,0.15916911870177863,0.2733109321718481
185.04920435510888,0.21497631368848086,0.15833117243648942,0.2716214549404723
185.64212730318258,0.21371260194014835,0.15749237021729,0.2699328336630067
186.2350502512563,0.2124488901918158,0.15665269248892122,0.26824508789471035
186.82797319933,0.21118517844348328,0.1558121191380421,0.26655823774892445
187.42089614740368,0.20992146669515077,0.15497062947493997,0.26487230391536154
188.0138190954774,0.2086577549468182,0.15412820221460616,0.26318730767903026
188.6067420435511,0.20739404319848576,0.15328481545715797,0.2615032709398135
189.1996649916248,0.20613033145015325,0.152440446667585,0.2598202162327215
189.7925879396985,0.20486661970182068,0.15159507265480113,0.25813816674884027
190.3855108877722,0.20360290795348818,0.15074866954997906,0.2564571463569973
190.9784338358459,0.20233919620515567,0.14990121278414748,0.25477717962616386
191.5713567839196,0.2010754844568231,0.1490526770650293,0.2530982918486169
192.1642797319933,0.1998117727084906,0.14820303635310003,0.25142050906388114
192.757202680067,0.19854806096015815,0.14735226383684402,0.24974385808347227
193.35012562814072,0.19728434921182558,0.14650033190718867,0.2480683665164625
193.9430485762144,0.19602063746349307,0.14564721213109608,0.24639406279589007
194.5359715242881,0.19475692571516057,0.14479287522428982,0.2447209762060313
195.12889447236182,0.193493213966828,0.1439372910230993,0.2430491369105567
195.7218174204355,0.1922295022184955,0.14308042845540137,0.24137857598158963
196.3147403685092,0.190965790470163,0.1422222555106409,0.23970932542968507
196.90766331658293,0.18970207872183042,0.1413627392089138,0.23804141823474706
197.50058626465662,0.18843836697349797,0.14050184556909595,0.2363748883779
198.0935092127303,0.18717465522516546,0.13963953957600403,0.2347097708743269
198.68643216080403,0.1859109434768329,0.13877578514657582,0.23304610180708998
199.27935510887772,0.1846472317285004,0.13791054509505957,0.23138391836194122
199.87227805695142,0.1833835199801679,0.1370437810972039,0.22972325886313189
200.46520100502514,0.18211980823183532,0.1361754536534444,0.22806416281022623
201.05812395309883,0.18085609648350282,0.13530552205108393,0.2264066709159217
201.65104690117252,0.17959238473517036,0.13443394432546904,0.22475082514487169
202.24396984924624,0.1783286729868378,0.13356067722016818,0.22309666875350742
202.83689279731993,0.1770649612385053,0.13268567614616353,0.22144424633084706
203.42981574539363,0.17580124949017278,0.13180889514007077,0.2197936038402748
204.02273869346735,0.17453753774184022,0.1309302868214105,0.21814478866226994
204.61566164154104,0.1732738259935077,0.13004980234895913,0.2164978496380563
205.20858458961473,0.1720101142451752,0.12916739137621575,0.21485283711413466
205.80150753768845,0.17074640249684264,0.12828300200602916,0.21320980298765613
