sample_id,T_avg_K,Ea_eV,Ea_bulk,delta_Ea,temp_region
S8-2-1-1,270.25,0.2041585915094646,0.3475958956472814,-0.1434373041378167,High
S8-2-1-1,207.8,0.9252316707375888,0.7626936147358025,0.1625380560017862,Low
S8-2-1-2,274.825,0.1637874676149879,0.3154009683254644,-0.1516135007104765,High
S8-2-1-2,219.95,0.5457057092742814,0.6854924798313218,-0.1397867705570403,Low
S8-2-2-1,283.075,0.5042296644656525,0.2567284716808291,0.2475011927848234,High
S8-2-2-1,214.575,0.8675665108415722,0.7198572798734646,0.1477092309681076,Low
S8-2-2-2,279.025,0.2227267281126198,0.2856303765550564,-0.0629036484424366,High
S8-2-2-2,226.95,0.7292088301285863,0.6402339365741858,0.0889748935544004,Low
S8-3-1-1,270.15,0.197715547164261,0.197287506849436,0.0004280403148249,High
S8-3-1-1,210.8,0.4923154582934899,0.5905457963288872,-0.0982303380353972,Low
S8-3-1-2,288.775,0.1286393559844576,0.0654205181118257,0.0632188378726319,High
S8-3-1-2,262.275,0.2789101278349105,0.2518282382557966,0.0270818895791138,Mid
S8-3-1-2,241.34166666666667,0.4122021985197833,0.3932971071126114,0.0189050914071718,Mid
S8-3-1-2,223.85,0.6460835859318489,0.5075934738202076,0.1384901121116413,Low
S8-3-10-1,285.54166666666663,0.1015006353536192,0.0989639124596414,0.0025367228939777,High
S8-3-10-1,258.4583333333333,0.1873571923872646,0.2884756099957929,-0.1011184176085283,Mid
S8-3-10-1,231.96666666666664,0.3655640304373218,0.4655832035108266,-0.1000191730735048,Mid
S8-3-10-1,195.91666666666663,0.9126809435551388,0.6934643002229544,0.2192166433321845,Low
S8-3-11-1,282.0625,0.3172778604548202,0.1038453106502986,0.2134325498045215,High
S8-3-11-1,255.03250000000003,0.4843031163653903,0.2916624567321261,0.1926406596332642,Mid
S8-3-11-1,237.7675,0.657264432081637,0.4071749200731187,0.2500895120085182,Mid
S8-3-11-1,211.4525,1.1227672738152945,0.5765594890906771,0.5462077847246174,Low
S8-3-11-2,285.69166666666666,0.0810363027715209,0.0779802871248199,0.0030560156467009,High
S8-3-11-2,257.325,0.1681444878895938,0.2760632944504665,-0.1079188065608727,Mid
S8-3-11-2,226.625,0.3461203932493505,0.4798814099073923,-0.1337610166580418,Low
S8-3-11-2,186.49166666666667,0.8868735198616705,0.7297752413277068,0.1570982785339637,Low
S8-3-2-1,292.9666666666667,0.1710223529315657,0.0241875141964162,0.1468348387351494,High
S8-3-2-1,271.9916666666667,0.2976801628688463,0.1733179329169998,0.1243622299518464,High
S8-3-2-1,244.2083333333333,0.475455785264165,0.3629672747784295,0.1124885104857355,Mid
S8-3-2-1,209.65,0.9978807996795184,0.5863184339856714,0.4115623656938469,Low
S8-3-2-2,281.64166666666665,0.095853320212583,0.1053436085050113,-0.0094902882924283,High
S8-3-2-2,245.05,0.4459965514326176,0.3573540820886906,0.088642469343927,Mid
S8-3-2-2,209.3583333333333,0.945411901318264,0.588144296568383,0.357267604749881,Low
S8-3-2-3,269.6,0.1412535981063498,0.1899970749794928,-0.048743476873143,Mid
S8-3-2-3,207.35,0.7183678040694074,0.600689768953419,0.1176780351159884,Low
S8-3-2-4,283.175,0.1525764365210743,0.0944430071808209,0.0581334293402533,High
S8-3-2-4,225.625,0.4246148246366392,0.4848002641067158,-0.0601854394700766,Low
