temperature_C,rb_code_ohm
-88.0,301.8
-85.0,9115.0
-82.0,4042.0
-79.0,1772.0
-76.0,875.3
-73.0,477.8
-70.0,277.0
-67.0,170.6
-64.0,102.2
-61.0,88.61241253263708
-58.0,59.60819846757616
-57.0,31.451299406315695
-54.0,19.18351571292529
-51.0,12.97743591239173
-49.0,12.196061270479323
-48.0,9.078250631313132
-47.0,8.86686251174444
-46.0,6.006291338582677
-45.0,6.723310580204778
-44.0,6.0975534476468445
-43.0,4.426072101597706
-42.0,4.889446952595937
-41.0,4.2880979357893425
-40.0,3.4374040404040405
-39.0,3.640072703526339
-38.0,3.406728570170029
-37.0,2.7753094929773883
-36.0,3.0261459804144843
-34.0,2.224654570057818
-32.0,1.6910887102511203
-31.0,1.9018913226621736
-29.0,1.1443566529492455
-28.0,1.4902639339427897
-27.0,1.4596284949434861
-26.0,1.1348045480479256
-25.0,1.3282927300317287
-24.0,1.291901295477221
-23.0,1.1313693901035673
-22.0,1.522497765404059
-20.0,1.1152579749179363
-17.0,1.1359736166786871
-14.0,1.1167296486386575
-11.0,1.1043414806942968
-8.0,1.088690741724199
-5.0,1.0669426236868098
-2.0,1.0427733667891388
1.0,1.0222093130051433
4.0,1.012592715231788
7.0,1.0072787856349499
10.0,0.9997990571321882
13.0,1.0000528412864056
16.0,1.0009728970181957
19.0,1.0065558857583943
22.0,1.0165379986411724
