temperature_C,rb_code_ohm,rb_manual_ohm,delta_rb_ohm
-60.0,11325.5,11195.0,130.5
-57.0,5958.259766,5928.0,30.259766000000127
-54.0,3805.139893,3859.0,-53.86010699999997
-51.0,2132.879883,2153.0,-20.120116999999937
-48.0,1420.219971,1429.0,-8.780029000000013
-45.0,1164.369995,1138.0,26.369995000000017
-42.0,636.049011,626.0,10.04901099999995
-39.0,481.71800199999996,418.7,63.01800199999997
-36.0,142.1115829288901,164.1,-21.988417071109893
-33.0,5.591777134421371,5.427,0.16477713442137176
-30.0,4.985459311869896,4.913,0.07245931186989552
-27.0,4.625402366333751,4.575,0.05040236633375095
-24.0,4.098502993001185,4.053,0.04550299300118521
-21.0,3.8260228468668407,3.781,0.04502284686684055
-18.0,3.586238510359512,3.536,0.05023851035951177
-15.0,3.374532677449727,3.331,0.043532677449726886
-12.0,3.042646545978853,3.008,0.034646545978853194
-9.0,2.91012361901738,2.876,0.03412361901738015
-6.0,2.7808133674930633,2.745,0.035813367493063186
-3.0,2.6934896842959244,2.663,0.03048968429592458
0.0,2.731184399546024,2.689,0.04218439954602404
3.0,2.4427006504580744,2.42,0.022700650458074456
6.0,2.3653282897357917,2.345,0.020328289735791483
9.0,2.307728318517149,2.288,0.01972831851714929
12.0,2.2414503640964547,2.218,0.023450364096454734
15.0,2.23078654293666,2.213,0.01778654293665971
18.0,2.524493699105883,2.443,0.081493699105883
