sample_id,n_sequence_points,first_temp_C,last_temp_C,direction_inferred,n_temp_decreases,n_temp_increases,sequence_warning
2026.4.25CS,78,-12.0,9.0,nonmonotonic_or_filename_sorted,27,9,sequence_order_not_sufficient_for_hysteresis_claim
2026.4.27CS,55,-12.0,9.0,nonmonotonic_or_filename_sorted,21,11,sequence_order_not_sufficient_for_hysteresis_claim
2026.4.28CS,37,-12.0,9.0,nonmonotonic_or_filename_sorted,24,9,sequence_order_not_sufficient_for_hysteresis_claim
2026.4.29CS,39,-11.0,7.0,nonmonotonic_or_filename_sorted,25,10,sequence_order_not_sufficient_for_hysteresis_claim
2026.4.30CS,29,-12.0,9.0,nonmonotonic_or_filename_sorted,18,8,sequence_order_not_sufficient_for_hysteresis_claim
2026.5.1CS,28,-12.0,9.0,nonmonotonic_or_filename_sorted,18,8,sequence_order_not_sufficient_for_hysteresis_claim
2026.5.9CS,35,20.0,9.0,nonmonotonic_or_filename_sorted,25,9,sequence_order_not_sufficient_for_hysteresis_claim
