Material,N_Segments,N_Samples,Percentage
S8,0,2,4.88
S8,1,2,4.88
S8,2,13,31.71
S8,3,3,7.32
S8,4,21,51.22
S60,0,1,5.88
S60,1,0,0.00
S60,2,1,5.88
S60,3,0,0.00
S60,4,15,88.24
