Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 10.358400, 9.109390, 13.794109, 41.329063
276480.000000, 10.769100, 7.589730, 13.174882, 35.175003
197486.000000, 11.313700, 5.231460, 12.464669, 24.815845
153600.000000, 11.562300, 3.844920, 12.184834, 18.393997
125673.000000, 11.738300, 2.977080, 12.109942, 14.231343
98742.898438, 11.914500, 2.080190, 12.094730, 9.903625
76800.000000, 12.044000, 1.337200, 12.118005, 6.335389
60104.300781, 12.191100, 0.712832, 12.211923, 3.346360
49371.398438, 12.301400, 0.284599, 12.304692, 1.325330
38400.000000, 12.418700, -0.195728, 12.420242, -0.902950
30052.199219, 12.583200, -0.644004, 12.599669, -2.929822
23834.500000, 12.754700, -1.060280, 12.798694, -4.751991
18681.099609, 12.944600, -1.491290, 13.030219, -6.571821
14706.400391, 13.172800, -1.907350, 13.310171, -8.238858
11520.000000, 13.457600, -2.391190, 13.668386, -10.075347
9600.000000, 13.685100, -2.769560, 13.962536, -11.440869
7513.040039, 14.047300, -3.296550, 14.428926, -13.206903
5760.000000, 14.481600, -3.967610, 15.015281, -15.321689
4547.370117, 14.941100, -4.659640, 15.650838, -17.320992
3600.000000, 15.431000, -5.397660, 16.347797, -19.279493
2880.000000, 15.970700, -6.209630, 17.135424, -21.246773
2273.679932, 16.642300, -7.216660, 18.139633, -23.443176
1781.439941, 17.371099, -8.464270, 19.323534, -25.978197
1416.390015, 18.148899, -9.786480, 20.619352, -28.335001
1122.079956, 18.996000, -11.389300, 22.148684, -30.945343
900.000000, 20.001900, -13.230500, 23.981705, -33.483128
720.000000, 20.995800, -15.381100, 26.026945, -36.225754
568.421021, 22.167101, -18.131599, 28.638004, -39.281479
440.816010, 23.543800, -21.738800, 32.045063, -42.717354
354.097992, 24.879200, -25.550501, 35.662342, -45.762657
276.923004, 26.515900, -30.765400, 40.615303, -49.242798
220.408005, 28.214199, -36.750599, 46.331928, -52.485806
174.194000, 30.157000, -44.327702, 53.613335, -55.771790
137.580002, 32.371399, -53.740398, 62.737053, -58.936665
109.091003, 34.859501, -65.251297, 73.979164, -61.887321
87.096802, 37.811401, -79.349297, 87.897743, -64.521332
68.354401, 41.494900, -98.416397, 106.806435, -67.138451
54.545502, 45.817402, -118.010002, 126.592239, -68.781288
42.857101, 51.297501, -145.778000, 154.540146, -70.613663
33.962299, 56.836601, -178.709000, 187.529480, -72.357262
26.865700, 65.686203, -220.654999, 230.224472, -73.422394
21.343901, 76.716797, -270.842987, 281.498474, -74.185120
17.307699, 89.329002, -326.169006, 338.180267, -74.683777
13.636400, 107.887001, -402.403015, 416.614685, -74.991570
10.714300, 132.378006, -496.845001, 514.177917, -75.080841
8.490570, 163.324997, -608.067017, 629.619385, -74.965370
6.716420, 204.104004, -743.395020, 770.905090, -74.647362
5.294120, 258.493988, -908.672974, 944.725220, -74.120316
4.166670, 329.231995, -1108.599976, 1156.454712, -73.459648
3.308820, 416.252014, -1336.260010, 1399.591553, -72.697922
2.616280, 528.898987, -1610.359985, 1694.990723, -71.817993
2.073730, 667.445984, -1928.739990, 2040.961060, -70.911674
1.642340, 837.117981, -2301.439941, 2448.957520, -70.011818
1.300580, 1041.280029, -2733.820068, 2925.412109, -69.148758
1.032110, 1283.239990, -3238.300049, 3483.287598, -68.383080
0.815217, 1558.660034, -3830.429932, 4135.409668, -67.857857
0.646552, 1877.439941, -4521.580078, 4895.862305, -67.450912
0.511364, 2172.209961, -5392.640137, 5813.696289, -68.059921
0.407609, 2573.229980, -6366.979980, 6867.310059, -67.993782
0.321429, 3078.899902, -7712.240234, 8304.111328, -68.237015
0.254525, 3640.739990, -9149.490234, 9847.241211, -68.301537
0.201613, 4269.930176, -10907.900391, 11713.863281, -68.621986
0.159574, 4992.819824, -13040.000000, 13963.161133, -69.048897
0.126689, 5826.350098, -15346.299805, 16415.091797, -69.210327
0.100446, 6703.520020, -19074.800781, 20218.437500, -70.636826
