fold,model,cv_r2_score
1,S60 Baseline,0.26277452863325756
2,S60 Baseline,0.0914264496480075
3,S60 Baseline,0.7564645347227799
4,S60 Baseline,0.5571069219215363
5,S60 Baseline,0.8920977495277664
1,S8 Confined,0.8146243595923303
2,S8 Confined,0.7962974231225304
3,S8 Confined,0.34884374011521424
4,S8 Confined,0.8921119790028913
5,S8 Confined,0.8247623433602261
