train_size,model,train_score_mean,train_score_std,test_score_mean,test_score_std
10,S60,0.5336476040415108,0.16595558923586087,0.048231631915560416,0.8144814793885188
20,S60,0.6176989114484045,0.1243008105266552,0.31717145325454454,0.2962919026718042
30,S60,0.6695872940004254,0.09123749724652992,0.4713978448135129,0.30367281555419623
40,S60,0.7000232827371415,0.07631716259018036,0.4853671944148042,0.31270997779006526
50,S60,0.7322570425700188,0.06720383762959853,0.5105784480776142,0.2981085378151312
19,S8,0.9562496517020982,0.015541785847646018,0.5694741221254471,0.04704863873522892
39,S8,0.9807167495145224,0.0044017406958544395,0.6730838153012749,0.1402296727088175
58,S8,0.9782711059307088,0.005564246946466285,0.6979976666937301,0.2213783590885422
78,S8,0.97434499239499,0.0064119241176687275,0.7400567717624041,0.16072006048652593
98,S8,0.9744675122913271,0.005145315445491213,0.7317598837086748,0.1937001881414292
