T_range_K,T_center_K,S8_count,S60_count,Total_count
180-185,182.5,0,0,0
185-190,187.5,0,0,0
190-195,192.5,0,0,0
195-200,197.5,0,0,0
200-205,202.5,0,3,3
205-210,207.5,3,2,5
210-215,212.5,2,5,7
215-220,217.5,7,2,9
220-225,222.5,6,2,8
225-230,227.5,4,2,6
230-235,232.5,10,1,11
235-240,237.5,1,1,2
240-245,242.5,6,5,11
245-250,247.5,9,2,11
250-255,252.5,4,1,5
255-260,257.5,5,5,10
260-265,262.5,4,2,6
265-270,267.5,5,3,8
270-275,272.5,9,4,13
275-280,277.5,0,4,4
