Breakpoint_Index,Material,N,Mean_K,Std_K,Median_K,Min_K,Max_K,N_near_215K,Pct_near_215K
1,S8,37,260.31,19.00,268.27,223.90,286.20,1,2.70
1,S60,16,270.73,10.13,273.96,244.13,284.03,0,0.00
2,S8,24,246.16,13.28,248.90,211.63,268.75,3,12.50
2,S60,15,247.31,10.83,249.25,221.22,267.02,1,6.67
3,S8,21,221.16,9.20,218.87,207.18,243.38,14,66.67
3,S60,15,212.67,7.87,211.67,201.72,228.07,10,66.67
