Material,N_samples,N_breakpoints,Mean_K,Median_K,Std_K,Min_K,Max_K,N_near_215K,Pct_near_215K
S8,37,82,246.14,246.11,22.06,207.18,286.20,18,21.95
S60,16,46,244.16,247.03,25.81,201.72,284.03,11,23.91
