BP_Index,Material,N,Min_K,Q1_K,Median_K,Mean_K,Q3_K,Max_K,Std_K,Range_K
1,S8,21,255.27,268.68,274.38,273.46,280.08,285.78,7.15,30.52
1,S60,15,244.13,267.18,274.27,271.69,277.98,284.03,9.73,39.90
2,S8,21,224.63,245.94,248.97,249.98,254.57,268.75,8.96,44.12
2,S60,15,221.22,241.30,249.25,247.31,255.57,267.02,10.83,45.79
3,S8,21,207.18,215.68,218.87,221.16,228.44,243.38,9.20,36.20
3,S60,15,201.72,206.77,211.67,212.67,216.62,228.07,7.87,26.35
