temperature_C,rb_code_ohm
-81.0,7987.244873
-78.0,3665.3182211528438
-75.0,1440.560059
-72.0,878.625
-69.0,594.427002
-66.0,385.941763376134
-63.0,248.8487920108423
-60.0,190.81787405853925
-57.0,141.62237503555963
-54.0,97.28352507991572
-51.0,70.8345144607696
-48.0,50.850595318912404
-45.0,37.30775798489914
-42.0,34.17420004504531
-39.0,21.06744870357358
-36.0,15.569326321226834
-33.0,13.150544621027692
-30.0,11.280490196755036
-27.0,9.735906197261773
-24.0,8.188887080989991
-21.0,7.113020591805497
-18.0,6.016945913520725
-15.0,5.084867915424632
-12.0,4.7766781804814284
-9.0,3.942400684342941
-6.0,3.619940161397635
-3.0,3.2665375780888253
0.0,3.245498377116577
3.0,2.796707428941553
6.0,2.7699295011601626
9.0,2.5698673828711756
12.0,2.306603583423326
15.0,2.1829099890054127
18.0,2.203345685800768
