line,label,thickness,n_success,n_kk_warn,sigma_max,T_at_max,sigma_273,sigma_253,sigma_233,T_low,ea_high,ea_mid,n_seg
A,lineA_starch_6.11,0.0628,38,0,0.01562348018020778,18.0,0.011362237683497678,0.005810046113857406,0.0021040223189504304,-90.0,0.16722724582997234,0.37682685953804435,3
A,lineA_LRS_6.12,0.0737,37,0,0.03180123560795264,7.0,0.030711575231811786,0.03028506846420622,0.010246533198431482,-89.0,0.008388933756031232,0.5854695480096254,3
A,lineA_starch_6.13,0.0737,34,0,0.01107692088458181,19.0,0.009172247213642605,0.005369449974884054,0.0015996109657623596,-89.0,0.11192256265213643,0.3840413426854297,3
A,lineA_LRS_6.15_merged,0.0701,59,0,0.03577249435005246,10.0,0.034988241319485046,0.03206908798395339,0.010404743143970076,-88.0,0.05447332492836975,0.6176189214005074,3
B,lineB_R0.42_6.11,0.0697,38,0,0.012169678425917011,21.0,0.008935068763530118,0.005407465904096175,0.002695676138672523,-90.0,0.1394122487754435,0.29274300612141585,3
B,lineB_R0.28_6.10,0.0783,35,0,0.009953874815007967,12.0,0.009336170441765927,0.00723496390159477,0.004164576667250977,-84.0,0.05936764122363079,0.23754118779872768,3
