sample_id,Ea_eV,ln_sigma0,T_avg_K,material
S60-1-1-1,0.1440398370220107,2.8704022963122,293.6,S60
S60-1-1-1,0.2551811470465397,7.349146138367264,276.9,S60
S60-1-1-1,0.3393325560762973,11.022155122164882,249.575,S60
S60-1-1-1,0.79764762869221,34.27839165166843,210.5833333333333,S60
S60-1-3-1,0.9394613172633264,34.35187580426061,290.64166666666665,S60
S60-1-3-1,0.4863058571752325,15.579698654932672,268.525,S60
S60-1-3-1,0.6583060157976375,23.64355937306233,237.24166666666667,S60
S60-1-3-1,0.856187535823725,34.69425142309038,204.16666666666669,S60
S60-2-1-1,0.1054863179120339,1.891210729219532,287.0,S60
S60-2-1-1,0.1718670557271326,4.71857605639634,258.84166666666664,S60
S60-2-1-1,0.4546781275599819,17.712611427555817,227.3,S60
S60-2-1-1,0.7818719791629996,36.06295985507365,193.41666666666669,S60
S60-2-10-1,0.0603436225161074,-0.8373780175466505,282.68333333333334,S60
S60-2-10-1,0.2730960019532443,8.202520484537656,253.91666666666663,S60
S60-2-10-1,0.3612211470985926,12.416639491089224,234.41666666666669,S60
S60-2-10-1,0.7315018798073836,32.38855452814605,200.35,S60
S60-2-11-1,0.2108729813698176,5.079211382677462,282.825,S60
S60-2-11-1,0.3092500402631075,9.399595224757352,252.675,S60
S60-2-11-1,0.5080275545054184,19.1456000598294,222.96666666666667,S60
S60-2-11-1,0.4036505513048612,11.518193898665654,182.375,S60
S60-2-12-1,0.1717328767422654,3.3515415708754044,284.4083333333333,S60
S60-2-12-1,0.1535751478553655,2.596754683982084,254.52500000000003,S60
S60-2-12-1,0.3458043411680968,11.978861278857456,223.7083333333333,S60
S60-2-12-1,0.7692011695197999,36.56437643856922,184.7083333333333,S60
S60-2-13-1,0.0597111220209948,0.8793854509518224,285.6333333333333,S60
S60-2-13-1,0.1959071258236762,5.490037618701142,252.7,S60
S60-2-13-1,0.5548709707709945,23.27973790082554,226.65833333333333,S60
S60-2-13-1,0.7071926918262589,31.99255901122092,197.14166666666668,S60
S60-2-14-1,0.1368009029914659,2.054046360325806,288.25,S60
S60-2-14-1,0.0723660430759738,-0.7094514740502025,265.09166666666664,S60
S60-2-14-1,0.3554168242940827,11.588520566261453,235.34166666666664,S60
S60-2-14-1,0.8130373443628552,37.10418159570034,194.79166666666663,S60
S60-2-2-1,0.0518540213440628,-1.2360140424436594,291.2333333333333,S60
S60-2-2-1,0.1126262183383689,1.2755036069139842,265.9,S60
S60-2-2-1,0.4372059130847912,15.526483515089154,232.625,S60
S60-2-2-1,0.717079844561003,30.98192840154753,194.8333333333333,S60
S60-2-3-1,0.095234547134883,-0.4488892722469319,280.64166666666665,S60
S60-2-3-1,0.7770771960434341,29.450974870636717,242.21666666666667,S60
S60-2-4-1,0.0473337574049323,-1.409744750259292,292.8833333333333,S60
S60-2-4-1,0.1257612450849837,1.79699058789939,267.8583333333333,S60
S60-2-4-1,0.2766284257934072,7.768603675143622,240.16666666666669,S60
S60-2-4-1,0.6364427258967179,26.057191725726963,207.26666666666665,S60
S60-2-5-1,0.2591565440170106,3.409631425210633,281.2055555555555,S60
S60-2-6-1,0.0741110357725562,-1.2400930462748765,288.7166666666667,S60
S60-2-6-1,0.1448548251291458,1.7435053953841375,266.575,S60
S60-2-6-1,0.4447375172299726,14.314029084541437,236.5583333333333,S60
S60-2-6-1,0.7356762090862663,30.10307147948105,198.5833333333333,S60
S60-2-7-1,0.1189955337777336,2.5434706500470865,292.1083333333333,S60
S60-2-7-1,0.1786270628998603,5.079935541255149,268.4,S60
S60-2-7-1,0.2876503802168004,10.058357946438235,244.25833333333333,S60
S60-2-7-1,0.6147057859755809,27.36228539059706,200.76666666666668,S60
S60-2-7-2,0.1775254453054415,4.430084606902375,277.3375,S60
S60-2-7-2,0.3795399494748157,14.146673301507656,233.29,S60
S60-2-7-2,0.4315176883500679,16.93758994548782,212.93,S60
S60-2-7-2,0.7243798100154797,33.93731115031144,188.7975,S60
S60-2-8-1,0.1409745824765826,2.899773921328658,289.01666666666665,S60
S60-2-8-1,0.2299349593195638,6.625613963402703,261.475,S60
S60-2-8-1,0.3776820597115274,13.653818650256303,230.95,S60
S60-2-8-1,0.8065617358322267,37.39639588735548,194.31666666666663,S60
S60-2-9-1,0.1288800568673657,2.1045352062773155,288.6,S60
S60-2-9-1,0.1200211612067039,1.7100253431280676,267.2583333333333,S60
S60-2-9-1,0.2891675819434263,9.318734030170084,236.175,S60
S60-2-9-1,0.7886285983586576,36.92803588126676,190.33333333333331,S60
