sample_id,Ea_eV,ln_sigma0,T_avg_K,segment,temp_region
S8-2-1-1,0.2041585915094646,3.815883292665039,270.25,1,High
S8-2-1-1,0.9252316707375888,40.465155045855326,207.8,2,Low
S8-2-1-2,0.1637874676149879,1.9542161446718789,274.825,1,High
S8-2-1-2,0.5457057092742814,20.18672222174499,219.95,2,Low
S8-2-2-1,0.5042296644656525,15.249064601769094,283.075,1,High
S8-2-2-1,0.8675665108415722,36.74353944033788,214.575,2,Low
S8-2-2-2,0.2227267281126198,4.041064953237813,279.025,1,High
S8-2-2-2,0.7292088301285863,27.768566701620266,226.95,2,Low
S8-3-1-1,0.197715547164261,3.6295861770516593,270.15,1,High
S8-3-1-1,0.4923154582934899,18.74811721699617,210.8,2,Low
S8-3-1-2,0.1286393559844576,0.3582626891852626,288.775,1,High
S8-3-1-2,0.2789101278349105,6.672079714364175,262.275,2,Mid
S8-3-1-2,0.4122021985197833,12.857234760607296,241.34166666666667,3,Mid
S8-3-1-2,0.6460835859318489,24.58065773654247,223.85,4,Low
S8-3-10-1,0.1015006353536192,-0.1744138318690264,285.54166666666663,1,High
S8-3-10-1,0.1873571923872646,3.5253385856204624,258.4583333333333,2,Mid
S8-3-10-1,0.3655640304373218,11.9745974712324,231.96666666666664,3,Mid
S8-3-10-1,0.9126809435551388,41.91308267422046,195.91666666666663,4,Low
S8-3-11-1,0.3172778604548202,7.204714548436394,282.0625,1,High
S8-3-11-1,0.4843031163653903,14.489943806001676,255.03250000000003,2,Mid
S8-3-11-1,0.657264432081637,22.64566545590393,237.7675,3,Mid
S8-3-11-1,1.1227672738152945,46.657414549831735,211.4525,4,Low
S8-3-11-2,0.0810363027715209,-1.010368720836231,285.69166666666666,1,High
S8-3-11-2,0.1681444878895938,2.738462939481617,257.325,2,Mid
S8-3-11-2,0.3461203932493505,11.29937298777097,226.625,3,Low
S8-3-11-2,0.8868735198616705,41.95395128694293,186.49166666666667,4,Low
S8-3-2-1,0.1710223529315657,1.7069454687144034,292.9666666666667,1,High
S8-3-2-1,0.2976801628688463,6.875763821610637,271.9916666666667,2,High
S8-3-2-1,0.475455785264165,14.913100955304609,244.2083333333333,3,Mid
S8-3-2-1,0.9978807996795184,41.812546837410885,209.65,4,Low
S8-3-2-2,0.095853320212583,-4.953811292303209,281.64166666666665,1,High
S8-3-2-2,0.4459965514326176,10.561884268763391,245.05,2,Mid
S8-3-2-2,0.945411901318264,36.69998197579775,209.3583333333333,3,Low
S8-3-2-3,0.1412535981063498,0.5805968102275102,269.6,1,Mid
S8-3-2-3,0.7183678040694074,30.08938432952605,207.35,2,Low
S8-3-2-4,0.1525764365210743,1.2921571999602504,283.175,1,High
S8-3-2-4,0.4246148246366392,13.436621638547695,225.625,2,Low
S8-3-2-5,0.1934781794370317,3.0366764100301054,270.65,1,High
S8-3-2-5,0.8797123959613724,37.80474436466461,208.8,2,Low
S8-3-20-1-1,0.1006587160059971,0.0524490311734035,287.25,1,High
S8-3-20-1-1,0.1937960998572896,4.014816455858468,261.69166666666666,2,Mid
S8-3-20-1-1,0.3772641630860995,12.621328723423447,233.6833333333333,3,Mid
S8-3-20-1-1,0.903092365155823,41.27072997168103,196.94166666666663,4,Low
S8-3-21-1-1,0.1529486259126392,1.770973167117434,288.6,1,High
S8-3-21-1-1,0.2580016648358436,6.194232878594145,264.5916666666667,2,Mid
S8-3-21-1-1,0.4463466660380241,14.9258675684878,236.84166666666667,3,Mid
S8-3-21-1-1,1.0242399985472908,45.8390970456707,201.50833333333333,4,Low
S8-3-22-1-1,0.1582301915789412,1.6616802213450903,288.75,1,High
S8-3-22-1-1,0.2605852359674677,5.964646134871749,264.925,2,Mid
S8-3-22-1-1,0.4321133045732082,13.894474782307174,238.5583333333333,3,Mid
S8-3-22-1-1,0.97340000270435,42.600275103572976,200.6833333333333,4,Low
S8-3-23-2-1,0.2406698577837363,3.142606731591848,293.08333333333337,1,High
S8-3-23-2-1,0.3559772478309905,7.846924967101635,273.7583333333333,2,High
S8-3-23-2-1,0.5757619900549222,17.619289323315,247.475,3,Mid
S8-3-23-2-1,1.1211154563758827,45.57776262045821,213.925,4,Low
S8-3-24-1-1,0.4471626065341108,2.9780933361274173,276.02333333333337,full_range,High
S8-3-25-1-1,0.1736340937551088,2.4119413072291342,291.44166666666666,1,High
S8-3-25-1-1,0.2783490842938581,6.729318306855966,271.7,2,High
S8-3-25-1-1,0.4427833839465234,14.08267222242218,246.70833333333331,3,Mid
S8-3-25-1-1,0.9781973525868022,41.33401052035925,212.1833333333333,4,Low
S8-3-27-1-1,0.0971917119844558,-4.7916262408908645,294.4833333333333,1,High
S8-3-27-1-1,0.1924937130181593,-0.9513718447654128,278.725,2,High
S8-3-28-1-1,0.0869219779234288,-0.9387702856963228,287.125,1,High
S8-3-28-1-1,0.1711204476965148,2.653710045036553,264.3833333333333,2,Mid
S8-3-28-1-1,0.7732657708382784,29.71348305249853,240.59166666666667,3,Mid
S8-3-28-1-1,0.9813485584304942,40.73746227316824,204.4333333333333,4,Low
S8-3-29-1-1,0.2317970879458667,-0.1844337658188576,283.925,1,High
S8-3-3-1,0.1636333008595276,1.8890154817763465,270.575,1,High
S8-3-3-1,0.6543130629261986,26.5152963209383,209.175,2,Low
S8-3-31-1-1,0.0935345635876916,-0.2994392231285523,287.2,1,High
S8-3-31-1-1,0.1753330796233482,3.1803744530966878,261.6,2,Mid
S8-3-31-1-1,0.3307768560975357,10.461916074751942,234.9333333333333,3,Mid
S8-3-31-1-1,0.7678022904394656,34.04060546771498,195.725,4,Low
S8-3-32-1-1,0.0782141472092334,-0.8569023670252908,288.66666666666663,1,High
S8-3-32-1-1,0.1744511940315569,3.197472760416009,264.5083333333333,2,Mid
S8-3-32-1-1,0.3808487977636519,12.775279437944736,236.38333333333333,3,Mid
S8-3-32-1-1,0.9337083650112884,42.47917728304276,199.05,4,Low
S8-3-33-1-1,0.0300619568121458,-2.860155943774297,294.31666666666666,1,High
S8-3-33-1-1,0.0768524382025793,-0.9671642332718364,278.70000000000005,2,High
S8-3-33-1-1,0.2873404686076035,8.120855684123717,257.44166666666666,3,Mid
S8-3-33-1-1,0.6502298775738106,25.644447764759068,213.15,4,Low
S8-3-35-1-1,0.2420023544623153,4.029693740774352,291.69166666666666,1,High
S8-3-35-1-1,0.3518271789740603,8.553743657145963,270.8666666666667,2,High
S8-3-35-1-1,0.5411276201216283,17.09223472576402,247.13333333333333,3,Mid
S8-3-35-1-1,1.0004676081351822,40.23914373638903,216.41666666666669,4,Low
S8-3-37-1-1,0.0725214033722789,-4.699162687521757,272.3333333333333,1,High
S8-3-37-1-1,0.5427896712508093,17.325206033003806,231.475,2,Mid
S8-3-37-1-1,1.1327695683501604,49.95723584009746,198.2,3,Low
S8-3-38-1-1,0.0823666386562389,-1.0296869207204296,285.7416666666667,1,High
S8-3-38-1-1,0.1692269138616624,2.7069473380365814,258.875,2,Mid
S8-3-38-1-1,0.3581964291073085,11.678430082645292,231.025,3,Mid
S8-3-38-1-1,0.9065938301501094,41.89477932151991,193.28333333333333,4,Low
S8-3-4-1,0.0937941941404422,-0.3868768168373787,274.55,1,High
S8-3-4-1,0.6035222890008569,24.086274167021667,219.525,2,Low
S8-3-5-1,0.1890772675116994,2.9421856173759773,270.625,1,High
S8-3-5-1,0.7724973568531761,32.23223017661017,209.175,2,Low
S8-3-6-1,0.111747732463103,0.1264312196338351,282.95,1,High
S8-3-6-1,0.3046786813668551,8.63707795339237,243.56666666666663,2,Mid
S8-3-6-1,0.6858490953266501,28.74870144145676,205.13333333333333,3,Low
S8-3-6-2,0.1375512371811573,0.6656098088780218,288.80833333333334,1,High
S8-3-6-2,0.2554645647891591,5.617592935323837,263.7583333333333,2,Mid
S8-3-6-2,0.4450175737643332,14.476991928991428,234.75833333333333,3,Mid
S8-3-6-2,1.0317728029170603,46.20965369127752,197.66666666666663,4,Low
S8-3-6-3,0.1666688091984423,2.531793538603909,266.1,1,Mid
S8-3-6-3,0.7322958903366379,32.232613791401995,200.075,2,Low
