temperature_C,rb_code_ohm
-60.0,11325.5
-57.0,5958.259766
-54.0,3805.139893
-51.0,2132.879883
-48.0,1420.219971
-45.0,1164.369995
-42.0,636.049011
-39.0,422.444
-36.0,142.1115829288901
-33.0,5.591777134421371
-30.0,4.985459311869896
-27.0,4.625402366333751
-24.0,4.098502993001185
-21.0,3.8260228468668407
-18.0,3.586238510359512
-15.0,3.374532677449727
-12.0,3.042646545978853
-9.0,2.91012361901738
-6.0,2.7808133674930633
-3.0,2.6934896842959244
0.0,2.731184399546024
3.0,2.4427006504580744
6.0,2.3653282897357917
9.0,2.307728318517149
12.0,2.2414503640964547
15.0,2.23078654293666
18.0,2.524493699105883
