Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 14.637600, 11.330500, 18.510525, 37.742313
276480.000000, 14.901300, 9.823650, 17.848049, 33.394783
197486.000000, 15.138500, 6.997210, 16.677383, 24.806990
153600.000000, 15.195800, 5.364180, 16.114799, 19.443241
125673.000000, 15.281000, 4.338150, 15.884851, 15.848807
98742.898438, 15.347800, 3.323790, 15.703584, 12.219537
76800.000000, 15.386200, 2.470140, 15.583220, 9.120584
60104.300781, 15.413000, 1.794400, 15.517101, 6.640550
49371.398438, 15.442200, 1.357820, 15.501781, 5.025047
38400.000000, 15.513500, 0.916831, 15.540568, 3.382185
30052.199219, 15.521700, 0.496678, 15.529645, 1.832779
23834.500000, 15.557400, 0.119302, 15.557858, 0.439364
18681.099609, 15.590300, -0.209805, 15.591711, -0.771006
14706.400391, 15.649400, -0.559156, 15.659386, -2.046319
11520.000000, 15.722700, -0.909767, 15.749000, -3.311629
9600.000000, 15.809400, -1.194940, 15.854494, -4.322434
7513.040039, 15.917400, -1.616200, 15.999242, -5.797753
5760.000000, 16.073601, -2.128120, 16.213869, -7.542008
4547.370117, 16.251301, -2.678250, 16.470512, -9.358353
3600.000000, 16.429001, -3.300510, 16.757250, -11.359251
2880.000000, 16.683701, -4.036040, 17.164949, -13.599442
2273.679932, 17.016199, -4.900020, 17.707661, -16.064396
1781.439941, 17.362900, -5.989870, 18.367058, -19.033461
1416.390015, 17.789801, -7.163550, 19.177942, -21.933529
1122.079956, 18.352900, -8.639650, 20.284784, -25.208771
900.000000, 19.007999, -10.318300, 21.628023, -28.494875
720.000000, 19.683701, -12.282100, 23.201250, -31.963057
568.421021, 20.514601, -14.770800, 25.278952, -35.754414
440.816010, 21.533501, -18.033600, 28.087406, -39.945072
354.097992, 22.558201, -21.468100, 31.140837, -43.581635
276.923004, 23.877399, -26.167500, 35.424122, -47.620075
220.408005, 25.290001, -31.522699, 40.413670, -51.260658
174.194000, 26.988100, -38.287498, 46.843250, -54.820751
137.580002, 29.014999, -46.648102, 54.935558, -58.118492
109.091003, 31.418400, -56.804199, 64.914040, -61.053028
87.096802, 34.260799, -68.992996, 77.031395, -63.591755
68.354401, 38.125198, -85.509003, 93.623291, -65.969734
54.545502, 42.782001, -102.238998, 110.829201, -67.293091
42.857101, 48.923302, -125.709999, 134.894379, -68.735207
33.962299, 55.488800, -153.250000, 162.986404, -70.095688
26.865700, 65.624100, -187.748993, 198.887421, -70.733894
21.343901, 78.278198, -228.335007, 241.380096, -71.077179
17.307699, 93.029701, -272.838013, 288.262238, -71.172127
13.636400, 113.981003, -332.381989, 351.382202, -71.072044
10.714300, 141.186996, -404.351013, 428.291382, -70.752357
8.490570, 174.544998, -486.776001, 517.123596, -70.273514
6.716420, 216.891998, -584.606018, 623.543396, -69.644867
5.294120, 270.131989, -700.148010, 750.452209, -68.902328
4.166670, 335.303009, -836.299988, 901.013733, -68.152367
3.308820, 410.045013, -988.507996, 1070.179932, -67.470734
2.616280, 499.014008, -1167.959961, 1270.096680, -66.865273
2.073730, 599.992981, -1376.579956, 1501.653809, -66.449638
1.642340, 714.956970, -1623.280029, 1773.753540, -66.229401
1.300580, 845.479980, -1914.900024, 2093.245850, -66.177254
1.032110, 994.270020, -2264.060059, 2472.759766, -66.291145
0.815217, 1160.780029, -2685.260010, 2925.411377, -66.622208
0.646552, 1351.160034, -3194.679932, 3468.661621, -67.074524
0.511364, 1530.079956, -3831.689941, 4125.893066, -68.232063
0.407609, 1783.689941, -4558.689941, 4895.222656, -68.630959
0.321429, 2106.080078, -5563.439941, 5948.733887, -69.265480
0.254525, 2467.520020, -6646.770020, 7090.007813, -69.633255
0.201613, 2870.159912, -7967.680176, 8468.869141, -70.189705
0.159574, 3322.889893, -9573.849609, 10134.110352, -70.859146
0.126689, 3836.040039, -11318.400391, 11950.790039, -71.277428
0.100446, 4298.009766, -14136.500000, 14775.436523, -73.088814
