temperature_C,rb_code_ohm,rb_manual_ohm,delta_rb_ohm
-74.0,2641.840088,5242.0,-2600.159912
-71.0,1014.299988,1308.0,-293.700012
-68.0,594.554993,652.2,-57.64500700000008
-65.0,276.083008,339.1,-63.016992000000016
-62.0,145.92362559152014,158.0,-12.076374408479865
-59.0,78.64370880548711,84.06,-5.416291194512894
-56.0,39.20264142118773,41.55,-2.347358578812269
-53.0,21.563063362148323,22.58,-1.0169366378516749
-50.0,11.581883092827672,11.91,-0.328116907172328
-47.0,7.0991841975695085,7.16,-0.06081580243049167
-44.0,4.141713445048554,4.075,0.06671344504855359
-41.0,2.684400055719722,2.587,0.09740005571972166
-38.0,1.802550543990094,1.691,0.1115505439900939
-35.0,0.954951020831309,0.85515,0.09980102083130904
-32.0,0.8175752508243052,0.72278,0.09479525082430518
-29.0,0.7818180813780587,0.68689,0.09492808137805875
-26.0,0.7363545211098679,0.64595,0.09040452110986785
-23.0,0.6973030802977549,0.611,0.08630308029775491
-20.0,0.6675234462841001,0.58498,0.08254344628410004
-17.0,0.6563945039247894,0.57508,0.08131450392478934
-14.0,0.632037721943491,0.55678,0.0752577219434909
-11.0,0.6399256394066815,0.56046,0.0794656394066815
-8.0,0.6268178996931487,0.55333,0.07348789969314873
-5.0,0.6088138803397707,0.539,0.06981388033977065
-2.0,0.5997487444408777,0.53131,0.06843874444087772
1.0,0.5542216649589619,0.48993,0.06429166495896188
4.0,0.5494669828351217,0.48602,0.06344698283512173
7.0,0.5371217626947308,0.47699,0.06013176269473075
10.0,0.5327363177570094,0.47368,0.05905631775700937
13.0,0.5307031102911899,0.4715,0.05920311029118991
16.0,0.5193004098316059,0.46422,0.05508040983160584
18.0,0.5158849938436607,0.46052,0.055364993843660726
22.0,0.5060732024942467,0.45252,0.05355320249424672
25.0,0.6867804572051679,0.61925,0.06753045720516793
