frequency_hz,z_real_ohm_cm2,z_imag_ohm_cm2,sample_id,target_temperature_C,actual_temperature_C,source_file
900.0,5.59198,-8.58179,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
720.0,5.97503,-10.319,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
568.421021,6.44496,-12.5939,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
440.81601,7.06654,-15.7003,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
354.097992,7.68714,-18.9867,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
276.923004,8.55033,-23.554501,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
220.408005,9.54716,-28.835899,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
174.194,10.8424,-35.539001,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
137.580002,12.5101,-43.8493,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
109.091003,14.616,-53.933102,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
87.096802,17.215401,-65.994904,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
